"dataset","tissue","celltype","marker"
"tabulasapiens_top20","Fat","neutrophil","S100A8,IL1R2,CSF3R,FCGR3B,S100A12,S100A9,FPR1,SERPINA1,MNDA,S100P,RIPOR2,CXCR2,SORL1,VNN2,G0S2,AQP9,BCL2A1,GCA,SLC25A37,SLC11A1"
"tabulasapiens_top20","Fat","mast cell","AC105389.1,GABRG3-AS1,GATA1,BPIFB2,AL160191.3,AP000894.2,MZT1P1,RF00568-9,AL356804.1,CRYGD,POTED,MIR3134,TRIM75P,AL157895.1,RHEX,AP002754.1,SHISA7,OR14L1P,FAM27B,MS4A2"
"tabulasapiens_top20","Fat","b cell","IGKV3-20,FP671120.5,AC090498.1,RPL41P1,AL512646.1,TMSB4XP8,AC099560.2,RPL41P5,BX679664.1,RPL23AP42,MTCO2P12,RPL21P75,RPL21P16,FCRL1,MTRNR2L12,EEF1A1P5,RPS3AP26,RPL7P9,RPL21P28,MTCO1P12"
"tabulasapiens_top30","Fat","fibroblast","MFAP5,DCN,FBLN1,C3,PLA2G2A,MGST1,C1S,COL6A3,NOVA1,SCARA5,C1R,MMP2,FSTL1,COL1A2,ADH1B,CCN5,DCLK1,SERPINF1,FBN1,IGFBP6,HTRA3,FBLN2,CILP,COL6A2,PODN,LAMA2,COL6A1,PRELP,LUM,CD248"
"tabulasapiens_top30","Fat","endothelial cell","VWF,ADGRL4,CLDN5,PECAM1,TM4SF1,BTNL9,FLT1,CD36,IFI27,PALMD,FABP5,PLVAP,PCAT19,A2M,SLC9A3R2,CAVIN2,CLEC14A,RBP7,APOLD1,ADGRF5,AQP1,CD300LG,PTPRB,EPAS1,SOX18,CDH5,F8,ITGA6,LIFR,FABP4"
"tabulasapiens_top30","Fat","t cell","IL7R,CXCR4,CD69,CD3E,DUSP2,IL32,CCL5,CD52,CD3D,CD2,CD48,PTPRC,KLRB1,TRBC2,BCL11B,HCST,TRAC,GZMK,PRDM1,CYTIP,RUNX3,STK4,SYTL3,CD3G,GZMA,AREG,RGS1,IKZF1,CRYBG1,GPR171"
"tabulasapiens_top30","Fat","macrophage","CD163,C1QC,MRC1,C1QA,C1QB,VSIG4,MS4A6A,F13A1,MS4A7,LYVE1,LYZ,MS4A4A,CTSS,TYROBP,AIF1,CXCL8,STAB1,FOLR2,CD14,FCER1G,C5AR1,IL1B,C1orf162,CTSB,RNASE1,CD83,CYBB,MAFB,CPM,CSF1R"
"tabulasapiens_top30","Fat","nk cell","NKG7,GNLY,GZMB,PRF1,KLRD1,CTSW,CST7,GZMA,FGFBP2,CXCR4,CCL5,CD247,CCL4,CD7,HCST,GZMH,DUSP2,PLAC8,RAC2,SYTL3,RUNX3,PTPRC,ARL4C,KLRF1,FCGR3A,HOPX,GZMM,CORO1A,PYHIN1,TRBC1"
"tabulasapiens_top30","Fat","myofibroblast cell","ACTA2,TAGLN,MYH11,NOTCH3,TPM2,AP002956.1,RERGL,RGS5,NDUFA4L2,MYL9,PPP1R14A,ADIRF,PLN,LMOD1,GJA4,TINAGL1,CSRP2,MYLK,HES4,CSRP1,TBX2,KLHL23,NR2F2,KCNAB1,BGN,MT1L,RRAD,RCAN2,TPM1,ISYNA1"
"tabulasapiens_top30","Fat","leucocyte","RPL41P1,AC090498.1,TMSB4XP8,EEF1A1P5,FP671120.5,RPL21P28,RPL41P5,RPS3AP26,AC099560.2,MTRNR2L12,BX679664.1,RPL21P16,AC002075.2,AC090602.1,RPL21P75,EEF1A1P13,MTND4P12,AL136454.1,RPL7P9,RPL7P1,MTCO1P12,AC005912.1,RPS3AP6,RPL10P6,SNRPGP2,RPL15P3,MT-ND3,TMSB4XP4,RPL13AP5,RPL6P27"
"tabulasapiens_top30","Fat","plasma cell","MZB1,DERL3,TNFRSF17,FCRL5,CD79A,SDC1,POU2AF1,JSRP1,FAM30A,ANKRD36BP2,DPEP1,IL5RA,IGLV3-1,IGLL5,AC012236.1,PNOC,TNFRSF13B,IGLV6-57,AC104024.1,IGHV6-1,IGKV4-1,LINC02362,IGKV1-39,IGHGP,CPNE5,IGKV3-15,SPAG4,FER1L4,ZBP1,IGHG2"
"tabulasapiens_top30","Fat","mesenchymal stem cell","C7,LAMB1,EDNRB,PTGDS,APOE,ALDH1A3,HSPB6,PDGFRA,SVEP1,LUM,RSPO3,SRPX,LAMA2,COL4A1,USP53,IGF1,APCDD1,KIAA0040,LMO3,CRISPLD2,PLXNA4,NID1,PIM1,RHOBTB3,ANGPT1,TSHZ2,SPON1,BOC,SPOCK1,EFEMP1"
"tabulasapiens_top30","Fat","smooth muscle cell","PCP4,DUSP26,ACTG2,ITIH3,MRAP2,DES,PGAM2,SBSPON,ITGA8,NTRK3,CNN1,LGR6,ADGRL3,HSPB7,SUSD5,AK5,RAMP1,PTCHD1,CSDC2,PLN,KCNA5,JPH2,RYR2,NPNT,ATP1A2,PRUNE2,DACT3,STAC2,RCAN2,OR51E2"
"tabulasapiens_top30","Fat","neutrophil","S100A8,IL1R2,CSF3R,FCGR3B,S100A12,S100A9,FPR1,SERPINA1,MNDA,S100P,RIPOR2,CXCR2,SORL1,VNN2,G0S2,AQP9,BCL2A1,GCA,SLC25A37,SLC11A1,SAMSN1,BASP1,ALPL,TREM1,SELL,MXD1,PTPRC,RGS2,ADGRE2,FAM129A"
"tabulasapiens_top30","Fat","mast cell","AC105389.1,GABRG3-AS1,GATA1,BPIFB2,AL160191.3,AP000894.2,MZT1P1,RF00568-9,AL356804.1,CRYGD,POTED,MIR3134,TRIM75P,AL157895.1,RHEX,AP002754.1,SHISA7,OR14L1P,FAM27B,MS4A2,AL513327.3,RF00019-367,TPSG1,CPA3,SLC38A11,AL136379.1,RF00561-6,KIT,POTEC,TLR9"
"tabulasapiens_top30","Fat","b cell","IGKV3-20,FP671120.5,AC090498.1,RPL41P1,AL512646.1,TMSB4XP8,AC099560.2,RPL41P5,BX679664.1,RPL23AP42,MTCO2P12,RPL21P75,RPL21P16,FCRL1,MTRNR2L12,EEF1A1P5,RPS3AP26,RPL7P9,RPL21P28,MTCO1P12,MS4A1,RPS3AP6,MTND4P12,AC005912.1,RPL7P1,RPL15P3,BCAS4,MEGF10,CD19,MT-ND3"
"tabulasapiens_top10","Heart","cardiac endothelial cell","IFI27,CAV1,F8,CAVIN2,HLA-B,PECAM1,FLT1,CD74,FABP4,RNASE1"
"tabulasapiens_top10","Heart","cardiac muscle cell","LAD1,TTN,SMPX,TECRL,CSRP3,ACTN2,ENO3,FBN2,PLN,SLC8A1"
"tabulasapiens_top10","Heart","hepatocyte","EPCAM,CD24,WFDC2,DLK1,UCHL1,CLDN7,MAL2,PSAT1,RAB25,SERPINA5"
"tabulasapiens_top10","Heart","smooth muscle cell","NDUFA4L2,PDGFRB,BGN,GJA4,COX4I2,PLA2G5,CPM,ADAMTS4,RERGL,HEYL"
"tabulasapiens_top10","Heart","fibroblast of cardiac tissue","DCN,ADH1B,PRELP,C7,CFH,LUM,C1R,C1S,CDH19,CRLF1"
"tabulasapiens_top10","Heart","macrophage","CD163,FCGR3A,TYROBP,FCER1G,PTPRC,LAPTM5,C1QA,CD53,ITGB2,C1QB"
"tabulasapiens_top20","Heart","cardiac endothelial cell","IFI27,CAV1,F8,CAVIN2,HLA-B,PECAM1,FLT1,CD74,FABP4,RNASE1,STOM,SPARCL1,VWF,HLA-E,TM4SF1,EPAS1,SRGN,RGCC,CD36,HLA-DRB1"
"tabulasapiens_top20","Heart","cardiac muscle cell","LAD1,TTN,SMPX,TECRL,CSRP3,ACTN2,ENO3,FBN2,PLN,SLC8A1,HACD1,NEBL,NEXN,NKX2-5,HSPB7,LDB3,SLC25A4,ATP1B1,MDH1,MYH6"
"tabulasapiens_top20","Heart","hepatocyte","EPCAM,CD24,WFDC2,DLK1,UCHL1,CLDN7,MAL2,PSAT1,RAB25,SERPINA5,MFAP2,SPINT1,DUSP9,CDH1,FAM107B,DCDC2,AP1M2,FLRT3,CLDN4,TLE1"
"tabulasapiens_top20","Heart","smooth muscle cell","NDUFA4L2,PDGFRB,BGN,GJA4,COX4I2,PLA2G5,CPM,ADAMTS4,RERGL,HEYL,MT1L,P2RY14,CASQ2,NFASC,SCN3A,FAM162B,SMOC2,KCNAB1,ANO1,RGS7BP"
"tabulasapiens_top20","Heart","fibroblast of cardiac tissue","DCN,ADH1B,PRELP,C7,CFH,LUM,C1R,C1S,CDH19,CRLF1,ABCA8,FBLN2,PCOLCE2,NNMT,EFEMP1,CYBRD1,ABCA6,C3,FBLN5,BGN"
"tabulasapiens_top20","Heart","macrophage","CD163,FCGR3A,TYROBP,FCER1G,PTPRC,LAPTM5,C1QA,CD53,ITGB2,C1QB,NKG7,CCL4,GZMB,C1QC,CD69,C5AR1,RGS1,MS4A6A,VSIG4,CD37"
"tabulasapiens_top30","Heart","cardiac endothelial cell","IFI27,CAV1,F8,CAVIN2,HLA-B,PECAM1,FLT1,CD74,FABP4,RNASE1,STOM,SPARCL1,VWF,HLA-E,TM4SF1,EPAS1,SRGN,RGCC,CD36,HLA-DRB1,ENG,SOX18,ADGRF5,HLA-C,LGALS3,CLEC14A,MGLL,SLC9A3R2,ICAM2,FAM107A"
"tabulasapiens_top30","Heart","cardiac muscle cell","LAD1,TTN,SMPX,TECRL,CSRP3,ACTN2,ENO3,FBN2,PLN,SLC8A1,HACD1,NEBL,NEXN,NKX2-5,HSPB7,LDB3,SLC25A4,ATP1B1,MDH1,MYH6,CDH2,FABP3,MYL3,EEF1A2,TNNT2,FILIP1,MEIS2,CHCHD10,PDK1,BNIP3"
"tabulasapiens_top30","Heart","hepatocyte","EPCAM,CD24,WFDC2,DLK1,UCHL1,CLDN7,MAL2,PSAT1,RAB25,SERPINA5,MFAP2,SPINT1,DUSP9,CDH1,FAM107B,DCDC2,AP1M2,FLRT3,CLDN4,TLE1,HMGN1,CAMK2N1,CDH6,HPX,EFNA5,ALDH1A1,SEMA3D,PCSK1N,FGA,SERPINF2"
"tabulasapiens_top30","Heart","smooth muscle cell","NDUFA4L2,PDGFRB,BGN,GJA4,COX4I2,PLA2G5,CPM,ADAMTS4,RERGL,HEYL,MT1L,P2RY14,CASQ2,NFASC,SCN3A,FAM162B,SMOC2,KCNAB1,ANO1,RGS7BP,NRIP2,ITIH5,CBLN1,ENPEP,HIGD1B,NTRK3,KCNE4,ABCC9,HSPB6,EPS8"
"tabulasapiens_top30","Heart","fibroblast of cardiac tissue","DCN,ADH1B,PRELP,C7,CFH,LUM,C1R,C1S,CDH19,CRLF1,ABCA8,FBLN2,PCOLCE2,NNMT,EFEMP1,CYBRD1,ABCA6,C3,FBLN5,BGN,RARRES1,COL6A3,AKR1C1,PLA2G2A,SCARA5,HTRA3,MFAP4,VIT,SCN7A,FBN1"
"tabulasapiens_top30","Heart","macrophage","CD163,FCGR3A,TYROBP,FCER1G,PTPRC,LAPTM5,C1QA,CD53,ITGB2,C1QB,NKG7,CCL4,GZMB,C1QC,CD69,C5AR1,RGS1,MS4A6A,VSIG4,CD37,SAMSN1,MARCO,EVI2B,PRF1,MRC1,CST7,SLA,MS4A7,CYTIP,FCGR2A"
"tabulasapiens_top10","Kidney","kidney epithelial cell","PDZK1IP1,FXYD2,C11orf54,ALDOB,ALDH1A1,S100A1,CRYAB,CXCL14,GATM,GPX3"
"tabulasapiens_top10","Kidney","b cell","MS4A1,CD52,IGKC,CXCR4,CD37,CD79A,LAPTM5,BANK1,CD79B,KLF2"
"tabulasapiens_top10","Kidney","cd8-positive, alpha-beta t cell","CCL5,CD2,PTPRC,CD69,CXCR4,GZMA,CCL4,CD3D,CD52,SRGN"
"tabulasapiens_top10","Kidney","endothelial cell","IGFBP5,ADGRF5,EMCN,PLAT,FCN3,PTPRB,MGP,FLT1,ID1,A2M"
"tabulasapiens_top10","Kidney","macrophage","LYZ,S100A9,CTSS,NEAT1,AIF1,S100A8,CD163,S100A4,TYROBP,FOS"
"tabulasapiens_top10","Kidney","nk cell","GNLY,NKG7,PRF1,KLRD1,GZMB,GZMA,CCL4,CD247,FCGR3A,CCL3"
"tabulasapiens_top10","Kidney","cd4-positive helper t cell","IL7R,CD69,CD2,CD3D,TRAC,CD3G,BCL11B,CD3E,ARL4C,KLRB1"
"tabulasapiens_top20","Kidney","kidney epithelial cell","PDZK1IP1,FXYD2,C11orf54,ALDOB,ALDH1A1,S100A1,CRYAB,CXCL14,GATM,GPX3,CYB5A,CYSTM1,AK4,MGST1,CMBL,MT1G,ASS1,KRT8,PCK1,ECHS1"
"tabulasapiens_top20","Kidney","b cell","MS4A1,CD52,IGKC,CXCR4,CD37,CD79A,LAPTM5,BANK1,CD79B,KLF2,CD53,TNFRSF13C,IRF8,HLA-DPB1,FCMR,LTB,MEF2C,BCL11A,ADAM28,STK17B"
"tabulasapiens_top20","Kidney","cd8-positive, alpha-beta t cell","CCL5,CD2,PTPRC,CD69,CXCR4,GZMA,CCL4,CD3D,CD52,SRGN,CD3G,HCST,IL7R,TRAC,LCP1,ARL4C,NKG7,TRBC2,GIMAP7,RGS1"
"tabulasapiens_top20","Kidney","endothelial cell","IGFBP5,ADGRF5,EMCN,PLAT,FCN3,PTPRB,MGP,FLT1,ID1,A2M,MEIS2,PODXL,KDR,CAVIN2,IL1RL1,ADGRL4,SLCO2A1,CD34,LDB2,BTNL9"
"tabulasapiens_top20","Kidney","macrophage","LYZ,S100A9,CTSS,NEAT1,AIF1,S100A8,CD163,S100A4,TYROBP,FOS,FCER1G,LST1,SRGN,FGL2,MS4A6A,CYBB,LAPTM5,MAFB,ZEB2,C1orf162"
"tabulasapiens_top20","Kidney","nk cell","GNLY,NKG7,PRF1,KLRD1,GZMB,GZMA,CCL4,CD247,FCGR3A,CCL3,PLAC8,CTSW,FGFBP2,CCL5,CST7,FCER1G,KLRF1,KLRB1,CLIC3,TXK"
"tabulasapiens_top20","Kidney","cd4-positive helper t cell","IL7R,CD69,CD2,CD3D,TRAC,CD3G,BCL11B,CD3E,ARL4C,KLRB1,TRBC1,SPOCK2,TCF7,SCML4,ITK,LEF1,GPR171,CAMK4,CD40LG,CD28"
"tabulasapiens_top30","Kidney","kidney epithelial cell","PDZK1IP1,FXYD2,C11orf54,ALDOB,ALDH1A1,S100A1,CRYAB,CXCL14,GATM,GPX3,CYB5A,CYSTM1,AK4,MGST1,CMBL,MT1G,ASS1,KRT8,PCK1,ECHS1,GLYAT,BBOX1,SUCLG1,SPP1,BHMT2,RIDA,DAB2,RBP5,KRT18,BDH2"
"tabulasapiens_top30","Kidney","b cell","MS4A1,CD52,IGKC,CXCR4,CD37,CD79A,LAPTM5,BANK1,CD79B,KLF2,CD53,TNFRSF13C,IRF8,HLA-DPB1,FCMR,LTB,MEF2C,BCL11A,ADAM28,STK17B,IGHM,POU2F2,PTPRC,CD22,P2RX5,CD48,RIPOR2,MARCH1,CORO1A,ANKRD44"
"tabulasapiens_top30","Kidney","cd8-positive, alpha-beta t cell","CCL5,CD2,PTPRC,CD69,CXCR4,GZMA,CCL4,CD3D,CD52,SRGN,CD3G,HCST,IL7R,TRAC,LCP1,ARL4C,NKG7,TRBC2,GIMAP7,RGS1,CST7,CD3E,BCL11B,PRDM1,TRBC1,KLRD1,LCK,CD8A,GIMAP4,IKZF3"
"tabulasapiens_top30","Kidney","endothelial cell","IGFBP5,ADGRF5,EMCN,PLAT,FCN3,PTPRB,MGP,FLT1,ID1,A2M,MEIS2,PODXL,KDR,CAVIN2,IL1RL1,ADGRL4,SLCO2A1,CD34,LDB2,BTNL9,ENG,TEK,GALNT15,ROBO4,TM4SF1,NPDC1,FAM107A,CDH5,TMEM204,GAS6"
"tabulasapiens_top30","Kidney","macrophage","LYZ,S100A9,CTSS,NEAT1,AIF1,S100A8,CD163,S100A4,TYROBP,FOS,FCER1G,LST1,SRGN,FGL2,MS4A6A,CYBB,LAPTM5,MAFB,ZEB2,C1orf162,MS4A7,VCAN,PTPRC,LCP1,FCGR3A,AC020656.1,HCLS1,MNDA,XIST,KCTD12"
"tabulasapiens_top30","Kidney","nk cell","GNLY,NKG7,PRF1,KLRD1,GZMB,GZMA,CCL4,CD247,FCGR3A,CCL3,PLAC8,CTSW,FGFBP2,CCL5,CST7,FCER1G,KLRF1,KLRB1,CLIC3,TXK,BIN2,ADGRE5,CD7,HOPX,AREG,TYROBP,PYHIN1,IL2RB,RUNX3,ZAP70"
"tabulasapiens_top30","Kidney","cd4-positive helper t cell","IL7R,CD69,CD2,CD3D,TRAC,CD3G,BCL11B,CD3E,ARL4C,KLRB1,TRBC1,SPOCK2,TCF7,SCML4,ITK,LEF1,GPR171,CAMK4,CD40LG,CD28,PRDM1,CD52,TRBC2,LCK,AC058791.1,CXCR4,TNFRSF25,EMB,CD96,GIMAP7"
"tabulasapiens_top10","Large_Intestine","cd4-positive, alpha-beta t cell","IL7R,KLRB1,SRGN,GPR183,ANXA1,ARL4C,CD2,CXCR4,SYTL3,CREM"
"tabulasapiens_top10","Large_Intestine","enterocyte of epithelium of large intestine","MUC12,FXYD3,SPINK1,FAM3D,CLDN3,SLC26A2,ELF3,PHGR1,CKB,C15orf48"
"tabulasapiens_top10","Large_Intestine","monocyte","CRYAB,CDH19,CLU,NRXN1,SPARCL1,PLP1,LGI4,SPP1,SCN7A,MYOT"
"tabulasapiens_top10","Large_Intestine","plasma cell","JCHAIN,IGHA2,MZB1,DERL3,CD79A,CCL3,SPAG4,CD27,TNFRSF17,MIR155HG"
"tabulasapiens_top10","Large_Intestine","cd8-positive, alpha-beta t cell","KLRD1,CCL5,CCL4,CD8A,CD7,PTPRC,SRGN,SYTL3,CREM,IL7R"
"tabulasapiens_top10","Large_Intestine","fibroblast","DCN,MGP,C11orf96,CFD,ADH1B,CALD1,IGFBP5,IGFBP6,FBLN1,GSN"
"tabulasapiens_top10","Large_Intestine","large intestine goblet cell","MUC2,FCGBP,REP15,CLCA1,ST6GALNAC1,KLK1,BEST2,NPDC1,HEPACAM2,MLPH"
"tabulasapiens_top10","Large_Intestine","paneth cell of epithelium of large intestine","CA7,BEST4,GUCA2A,SPIB,CA4,KRT20,MSLN,HES4,KRT19,FRMD1"
"tabulasapiens_top10","Large_Intestine","b cell","HLA-DRA,CD74,CD79A,HLA-DPB1,HLA-DPA1,TNFRSF13C,MS4A1,BANK1,LAPTM5,CD83"
"tabulasapiens_top10","Large_Intestine","transit amplifying cell of large intestine","MKI67,TK1,PCLAF,CENPW,UBE2C,CENPF,TOP2A,TYMS,HELLS,MAD2L1"
"tabulasapiens_top10","Large_Intestine","mast cell","TPSB2,TPSAB1,CPA3,IL1RL1,GATA2,HPGDS,MS4A2,LTC4S,FCER1G,TYROBP"
"tabulasapiens_top10","Large_Intestine","gut endothelial cell","CLDN5,PECAM1,CAVIN2,VWF,ACKR1,LIFR,PCAT19,PLVAP,EGFL7,CLEC14A"
"tabulasapiens_top10","Large_Intestine","intestinal crypt stem cell of large intestine","RNU6ATAC,RF00100-4,MIR320A,AC020911.2,CABYR,DLL4,HIST2H4B,FOXQ1,SNORD3A,MYCL"
"tabulasapiens_top10","Large_Intestine","intestinal enteroendocrine cell","CHGA,CRYBA2,SCGN,SCG5,GCG,SCG2,CACNA1A,CPE,CHGB,FEV"
"tabulasapiens_top10","Large_Intestine","neutrophil","C5AR1,CD163,S100A9,IL1B,C1QA,TYROBP,C1QB,S100A8,C1QC,FCGR2A"
"tabulasapiens_top10","Large_Intestine","intestinal tuft cell","SH2D6,TRPM5,BMX,HCK,SH2D7,B4GALNT4,ITPRID1,POU2F3,SNORA80E,OGDHL"
"tabulasapiens_top10","Large_Intestine","immature enterocyte","MTND1P23,UGT2B17,RPL10P9,MT1G,ADH1C,PIGR,AL450405.1,CD24,LGALS4,CA2"
"tabulasapiens_top10","Large_Intestine","intestinal crypt stem cell","ALDH1B1,ASCL2,PTPRO,LGR5,NOS2,RPL41P5,SMOC2,CDCA7,AP003774.4,AQP1"
"tabulasapiens_top10","Large_Intestine","mature enterocyte","MTND1P23,SLC26A3,CEACAM7,MTCO1P12,AP001034.1,CLCA4,MTRNR2L12,MTCO3P12,CEACAM1,MTCO1P40"
"tabulasapiens_top10","Large_Intestine","goblet cell","AC114801.3,FP671120.5,RNU1-1,RNU6-6P,MTCO2P2,RNU1-4,MTATP8P2,RNU1-2,MTRNR2L1,MTRNR2L8"
"tabulasapiens_top20","Large_Intestine","cd4-positive, alpha-beta t cell","IL7R,KLRB1,SRGN,GPR183,ANXA1,ARL4C,CD2,CXCR4,SYTL3,CREM,RORA,PTPRC,TNFAIP3,ARHGDIB,RGCC,CD3D,GLIPR1,SPOCK2,SAMSN1,FAM107B"
"tabulasapiens_top20","Large_Intestine","enterocyte of epithelium of large intestine","MUC12,FXYD3,SPINK1,FAM3D,CLDN3,SLC26A2,ELF3,PHGR1,CKB,C15orf48,CLDN4,C19orf33,KRT8,TSPAN8,KRT18,KRT19,MT-ATP8,MT-TP,AGR2,PIGR"
"tabulasapiens_top20","Large_Intestine","monocyte","CRYAB,CDH19,CLU,NRXN1,SPARCL1,PLP1,LGI4,SPP1,SCN7A,MYOT,GPM6B,PMP22,HSPA1A,CCN1,GPX3,SAMHD1,HSPA1B,IGFBP7,TIMP3,GPR155"
"tabulasapiens_top20","Large_Intestine","plasma cell","JCHAIN,IGHA2,MZB1,DERL3,CD79A,CCL3,SPAG4,CD27,TNFRSF17,MIR155HG,SLAMF7,SPINK2,FAM49A,IRF4,SLAMF1,BASP1,MOB3A,POU2AF1,GNG7,TNFRSF13B"
"tabulasapiens_top20","Large_Intestine","cd8-positive, alpha-beta t cell","KLRD1,CCL5,CCL4,CD8A,CD7,PTPRC,SRGN,SYTL3,CREM,IL7R,CXCR4,FYN,GZMB,ARHGDIB,RGS1,TSPYL2,LDLRAD4,CD3E,CST7,CD3D"
"tabulasapiens_top20","Large_Intestine","fibroblast","DCN,MGP,C11orf96,CFD,ADH1B,CALD1,IGFBP5,IGFBP6,FBLN1,GSN,GPX3,SERPING1,C1R,IGFBP7,COL6A2,C1S,MMP2,TFPI,APOD,TIMP3"
"tabulasapiens_top20","Large_Intestine","large intestine goblet cell","MUC2,FCGBP,REP15,CLCA1,ST6GALNAC1,KLK1,BEST2,NPDC1,HEPACAM2,MLPH,SERPINA1,ITLN1,FER1L6,RETNLB,KCNMA1,ANO7,TPSG1,FFAR4,RAP1GAP,CAPN9"
"tabulasapiens_top20","Large_Intestine","paneth cell of epithelium of large intestine","CA7,BEST4,GUCA2A,SPIB,CA4,KRT20,MSLN,HES4,KRT19,FRMD1,OTOP2,SDCBP2,GUCA2B,MDK,EPCAM,CCND1,KRT8,DSC2,LYPD8,NEURL1"
"tabulasapiens_top20","Large_Intestine","b cell","HLA-DRA,CD74,CD79A,HLA-DPB1,HLA-DPA1,TNFRSF13C,MS4A1,BANK1,LAPTM5,CD83,CD37,CD52,TNFRSF13B,SWAP70,CCR7,LY9,POU2F2,BLK,HLA-DRB1,GNG7"
"tabulasapiens_top20","Large_Intestine","transit amplifying cell of large intestine","MKI67,TK1,PCLAF,CENPW,UBE2C,CENPF,TOP2A,TYMS,HELLS,MAD2L1,TPX2,ZWINT,LMNB1,DHFR,ASPM,UBE2T,CDCA7,BIRC5,CDC20,CDKN3"
"tabulasapiens_top20","Large_Intestine","mast cell","TPSB2,TPSAB1,CPA3,IL1RL1,GATA2,HPGDS,MS4A2,LTC4S,FCER1G,TYROBP,HDC,RHEX,SLC18A2,SIGLEC6,FCER1A,ST8SIA6,CDK15,AL157895.1,GCSAML,SIGLEC17P"
"tabulasapiens_top20","Large_Intestine","gut endothelial cell","CLDN5,PECAM1,CAVIN2,VWF,ACKR1,LIFR,PCAT19,PLVAP,EGFL7,CLEC14A,THBD,CALCRL,RAMP3,SLCO2A1,CD93,FLT1,LMO2,LDB2,S1PR1,MMRN1"
"tabulasapiens_top20","Large_Intestine","intestinal crypt stem cell of large intestine","RNU6ATAC,RF00100-4,MIR320A,AC020911.2,CABYR,DLL4,HIST2H4B,FOXQ1,SNORD3A,MYCL,PARD6G-AS1,MAFA,HIST1H2AH,SLIT2,CSRNP2,ID4,RN7SKP230,HIST1H3C,HIST4H4,AL109918.1"
"tabulasapiens_top20","Large_Intestine","intestinal enteroendocrine cell","CHGA,CRYBA2,SCGN,SCG5,GCG,SCG2,CACNA1A,CPE,CHGB,FEV,UCN3,SCT,INSM1,RAB3B,SCG3,ETV1,RTN1,PCSK1,NKX2-2,F5"
"tabulasapiens_top20","Large_Intestine","neutrophil","C5AR1,CD163,S100A9,IL1B,C1QA,TYROBP,C1QB,S100A8,C1QC,FCGR2A,AIF1,ITGAX,VSIG4,MS4A6A,AQP9,TLR2,CLEC4E,FPR1,CSF3R,LST1"
"tabulasapiens_top20","Large_Intestine","intestinal tuft cell","SH2D6,TRPM5,BMX,HCK,SH2D7,B4GALNT4,ITPRID1,POU2F3,SNORA80E,OGDHL,AC023510.2,HTR3C,LINC01548,FADS2P1,GNG13,COL27A1,KLK13,RNU6-6P,CD300LF,PTGS1"
"tabulasapiens_top20","Large_Intestine","immature enterocyte","MTND1P23,UGT2B17,RPL10P9,MT1G,ADH1C,PIGR,AL450405.1,CD24,LGALS4,CA2,CES2,MGST1,FABP1,HMGCS2,C15orf48,TSPAN8,MT1E,LEFTY1,ATP5MC1,S100A14"
"tabulasapiens_top20","Large_Intestine","intestinal crypt stem cell","ALDH1B1,ASCL2,PTPRO,LGR5,NOS2,RPL41P5,SMOC2,CDCA7,AP003774.4,AQP1,AL450405.1,RPL10P9,EPHB3,RGMB,NOX1,EPHB2,AC090498.1,RPL41P1,HMGB1P5,XIST"
"tabulasapiens_top20","Large_Intestine","mature enterocyte","MTND1P23,SLC26A3,CEACAM7,MTCO1P12,AP001034.1,CLCA4,MTRNR2L12,MTCO3P12,CEACAM1,MTCO1P40,MTCO2P2,CA4,TMIGD1,AQP8,MTCO2P12,MT1H,MTRNR2L8,AC114801.3,MTND4P12,MALL"
"tabulasapiens_top20","Large_Intestine","goblet cell","AC114801.3,FP671120.5,RNU1-1,RNU6-6P,MTCO2P2,RNU1-4,MTATP8P2,RNU1-2,MTRNR2L1,MTRNR2L8,MTCO2P12,MTND4P12,AP000763.2,MTRNR2L12,SCARNA22,MTCO1P40,MTCO3P12,SPINK4,MTCO1P12,BEST2"
"tabulasapiens_top30","Large_Intestine","cd4-positive, alpha-beta t cell","IL7R,KLRB1,SRGN,GPR183,ANXA1,ARL4C,CD2,CXCR4,SYTL3,CREM,RORA,PTPRC,TNFAIP3,ARHGDIB,RGCC,CD3D,GLIPR1,SPOCK2,SAMSN1,FAM107B,CD3E,CD44,CD48,LEPROTL1,SARAF,RGS1,VIM,ETS1,TRBC1,FYN"
"tabulasapiens_top30","Large_Intestine","enterocyte of epithelium of large intestine","MUC12,FXYD3,SPINK1,FAM3D,CLDN3,SLC26A2,ELF3,PHGR1,CKB,C15orf48,CLDN4,C19orf33,KRT8,TSPAN8,KRT18,KRT19,MT-ATP8,MT-TP,AGR2,PIGR,MT-TE,CA1,SFN,PCK1,LGALS4,GDF15,SELENBP1,CD24,EREG,CDC42EP5"
"tabulasapiens_top30","Large_Intestine","monocyte","CRYAB,CDH19,CLU,NRXN1,SPARCL1,PLP1,LGI4,SPP1,SCN7A,MYOT,GPM6B,PMP22,HSPA1A,CCN1,GPX3,SAMHD1,HSPA1B,IGFBP7,TIMP3,GPR155,CHL1,NRXN3,ALDH1A1,CLIC4,SPARC,NCAM1,MAFF,S100B,MAP1B,ABL2"
