"simuround","noise","celltype","gene","annotation"
3,0.25,"Fibroblast","FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,PINX1-DT,ZNF565,HIPK1-AS1,KIF21A,CNTNAP3P3,LOC644462,FTH1P21","Fibroblasts"
3,0.25,"Luminal Epithelial","HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,ZBTB7C-AS1,PYY,RNU4-84P,MGAT2P1","Breast epithelial cells"
3,0.25,"Lymphatic Endothelial","LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,MYO1F","Lymphatic endothelial cells"
3,0.25,"Macrophage","MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,LOC105375876,PGK1P1,RNU7-116P,PIF1","Macrophages"
3,0.25,"Mast Cell","TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,RPL9P30","Mast cells"
3,0.25,"Myoepithelial (Basal)","ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,SGCA,MFAP3","Epithelial cells"
3,0.25,"Pericyte","ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,MMRFCGU,RN7SL261P","Pericytes"
3,0.25,"Smooth Muscle","CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,TRT-TGT2-1,TRV-CAC11-1,BRDTP1","Smooth muscle cells"
3,0.25,"T cell","CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,OR4K13,CASC3,LOC116268467","T cells"
3,0.25,"Vascular Endothelial","LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,GNAS-AS1,CTAGE12P,BCDIN3D","Endothelial cells"
3,0.5,"Adipocyte","EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,LOC124433244,CCL15-CCL14,HNRNPMP2,STAT1,ACAP3","Adipocytes"
3,0.5,"B cell_memory","CR2,CD24,FAS,CXCR3,CD1c,RPS11P2,HINT3","B cells"
3,0.5,"Fibroblast","FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,TRA-AGC11-1,AMPD3,GMFG,LY6L,MIR4290HG,RNU1-33P,LOC107984442,LOC107985927,LOC105371813,NPEPPS,LINC02799,B4GALT1,EEF1E1,STK33","Fibroblasts"
3,0.5,"Luminal Epithelial","HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,SERTM1,KYAT1,bA255A11.4,KRT18P45,LOC121587571,LOC107985157,LOC121331324,LINC02646","Luminal epithelial cells"
3,0.5,"Lymphatic Endothelial","LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,LOC110120815,RNA5SP281,LOC120807610","Lymphatic endothelial cells"
3,0.5,"Macrophage","MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,NIFKP4,HMGN2P48,MTTP,MSL3,TRN-GTT2-3,CCNA2,CYP4F11,RN7SKP111,MTMR11","Macrophages"
3,0.5,"Mast Cell","TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,LOC109461484,RNU6-777P,LOC105374211","Mast cells"
3,0.5,"Myoepithelial (Basal)","ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,NLRP8,LOC123956267,LOC116276467,EIF4ENIF1","Myoepithelial cells"
3,0.5,"Pericyte","ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,LOC105371419,LOC116276510,FOXC2,LOC110120731","Pericytes"
3,0.5,"Smooth Muscle","CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,ENPP7P1,RNU6-623P,LOC400940,MICE,PIGZ,KCND1,ANXA2P2","Smooth muscle cells"
3,0.5,"T cell","CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,PRDX3P1,PIP4K2A,IGBP1-AS1,LOC105374220,CFAP20DC,GTF2IP10","T cells"
3,0.5,"Vascular Endothelial","LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,LOC121815954,GNA14,ERCC2,FOXF2-DT,KLHL10,LOC101927469,CFAP97D1","Endothelial cells"
3,0.75,"Adipocyte","EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,RPL21P125,PHF3,LOC122756681,NCKAP1L,FRA11H,RN7SL762P,USH2A-AS2","Adipocytes"
3,0.75,"B cell_memory","CR2,CD24,FAS,CXCR3,CD1c,LINC02898,MIR6770-2,PRPS2","B cells"
3,0.75,"Fibroblast","FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,DRAP1,RPL17P44,GOT2,PGLS-DT,RAP1AP,LOC105371311,FAM131A,LOC105371460,LOC121725064,ERVK9-7,MIR6126,NEFMP1,LOC120893141,LOC102723539,SLC7A11,CD300E,FRA11H,LOC123493297,LOC121627929,LOC105376934,CERS1","Fibroblasts"
3,0.75,"Luminal Epithelial","HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,LOC100418712,SCLL,LOC116286194,LINC01868,LINC02578,LOC112543428,RNA5SP132,LOC107986112,MTND5P8,RNU6-1000P,MIR4263,RNU7-186P","Epithelial cells"
3,0.75,"Lymphatic Endothelial","LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,RNU7-52P,LOC105378844,ANKRD40CL,TMEM150A,RNU6-1237P","Lymphatic endothelial cells"
3,0.75,"Macrophage","MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,DUXAP6,LOC123881325,LOC105377095,LOC112268245,LOC105375889,LOC107986032,ACOX2,RNU6-127P,MBOAT7,RNU6-381P,LOC107986830,RNA5-8S2,VDAC1,ANKRD36","Macrophages"
3,0.75,"Mast Cell","TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,PAICSP5,ELAVL4,LRRC52,LOC105372034","Mast cells"
3,0.75,"Myoepithelial (Basal)","ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,IGHG1,IGHV7-4-1,LOC110120725,CFHR4,RPEL1,RARRES2","Epithelial cells"
3,0.75,"Pericyte","ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,IGHV4-55,LOC110120782,LOC123575623,RCC2P1,NFE2L1-DT,AK4P4","Myofibroblasts"
3,0.75,"Smooth Muscle","CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,VSX1,FEB10,LOC107986876,MARCHF8,LOC107985380,GARIN2,CER1,HK3,LOC122847317,GBP6,MVK","Smooth muscle cells"
3,0.75,"T cell","CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,LOC115945149,RN7SL536P,PNPLA5,LOC100505782,OR10AB1P,LOC107984642,LOC110120864,SIVA1,LOC108281168","T cells"
3,0.75,"Vascular Endothelial","LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,MIR6128,B3GNT7,CCDC14,NXT1,RPLP2P5,RN7SL500P,LOC105379356,LOC113175005,OPN3,BMND5","Endothelial cells"
3,1,"Adipocyte","EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,LOC112543433,FTH1P21,RNU7-80P,RPL21P23,LOC110121507,KRTAP11-1,LOC122526780,LOC108318668,HLF,CCAR1","Adipocytes"
3,1,"B cell_memory","CR2,CD24,FAS,CXCR3,CD1c,LOC113939927,TMEM108,LOC105375976,SPEN-AS1,LOC121587541","B cells"
3,1,"Fibroblast","FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,EVI2A,MAD2L1-DT,LOC105379178,NAFLD1,LOC114803469,GREB1,LOC124416843,ABHD17A,LOC105378650,SNORD153,HMGB3P22,MRPS36P3,PRPF8,LOC105369793,LOC111413043,LOC123497907,RN7SL131P,TRIM42,GTF2A1,LOC124252624,SLC35F5,RBPJP5,RIOX2,RNU6-1171P,SPIC,LOC107403234,USP9YP22,MIR7706","Fibroblasts"
3,1,"Luminal Epithelial","HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,MSANTD2,RNA18S4,MIR493,MTND4P2,CYTIP,LOC120807611,PAGE2B,KCTD5,MIR519C,SNRNP35,MMVP3,FASTKD3,ZNF285BP,NUDT4P2,DOCK9-AS1,USP17L14P,LOC105373275","Epithelial cells"
3,1,"Lymphatic Endothelial","LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,SPATA3,IRS4-AS1,ZNF695,SLC25A5,LOC100420054,GRAMD4P3,PEE3","Lymphatic endothelial cells"
3,1,"Macrophage","MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,LOC123493273,EPX,CTSLP2,SLC25A10,HSPA5-DT,UTP4,LOC121740696,LOC100128713,LOC105376637,SNORD23,FGF7P7,LOC121725164,CARD19,LOC107987245,TRE-CTC15-1,LOC121740660,LOC105369905,LOC123002324,NMTRQ-TTG14-1","Macrophages"
3,1,"Mast Cell","TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,LOC105370310,LOC105378604,LOC729774,EBF1,GOLGA8A,LOC113788249","Mast cells"
3,1,"Myoepithelial (Basal)","ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,LOC124153141,LOC646927,RTP5,LCE2D,LOC110594337,MIR6769A,LOC105372131,TRK-TTT3-2","Keratinocytes"
3,1,"Pericyte","ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,CYCSP51,ANKRD33B-AS1,LINC01496,LOC107986485,PCDHB1,TRIM16,LOC112163657,LOC121853035","Pericytes"
3,1,"Smooth Muscle","CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,RNU6-392P,CHCHD1,PTCPRN,CH507-9B2.8,LOC114827856,FAM21EP,ERVH-2,ST13P11,ARHGEF35,LOC105375613,CLCN7,LOC105376489,NKX2-2,SPATA31D2P,LAMA4","Smooth muscle cells"
3,1,"T cell","CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,ZNF628,RN7SL616P,LINC01208,LOC441228,LINC01265,LOC121847964,RPL39L,IGKV1OR10-1,LOC105379839,LOC114022702,LINC02185,LOC112268049,RPL21P54","T cells"
3,1,"Vascular Endothelial","LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,MT1A,LIN52,LOC93429,LOC122861260,LOC105372962,OR7E55P,IGKV2D-28,PANK1-AS1,IL10,ZNF790,LOC112296178,LGALS17A,LOC105376634,RN7SL722P","Endothelial cells"
4,0.25,"Adipocyte","EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,MRPS35P3,LOC107984293","Adipocytes"
4,0.25,"B cell_memory","CR2,CD24,FAS,CXCR3,CD1c,RBMS3-AS3","B cells"
4,0.25,"Fibroblast","FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,FADS2B,C11orf16,OR5L1,RN7SKP167,TRIM8,LOC121838568,RPS26P19","Fibroblasts"
4,0.25,"Luminal Epithelial","HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,FGFR4,MKI67P1,USP21P1,SLC30A9","Mammary Epithelial Cells"
4,0.25,"Lymphatic Endothelial","LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,LOC105379250","Lymphatic Endothelial Cells"
4,0.25,"Macrophage","MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,LOC105369302,RACGAP1,RPL29P6,LINC01726","Macrophages"
4,0.25,"Mast Cell","TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,MARVELD1","Mast cells"
4,0.25,"Myoepithelial (Basal)","ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,CTRCT25,SLC25A16","Myoepithelial Cells"
4,0.25,"Pericyte","ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,LOC105376634,LOC107987416","Pericytes"
4,0.25,"Smooth Muscle","CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,LOC646853,C1QC,LOC121530590","Smooth Muscle Cells"
4,0.25,"T cell","CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,LOC122056881,CDKN2C,TRP-TGG3-1","T cells"
4,0.25,"Vascular Endothelial","LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,ZNF607,LOC105376332,CTAGE16P","Endothelial Cells"
4,0.5,"Adipocyte","EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,MIR5705,MIR8064,NYS5,IGHVIII-16-1,ZBTB2","Adipocytes"
4,0.5,"B cell_memory","CR2,CD24,FAS,CXCR3,CD1c,LOC123924917,LOC105378193","B cells"
4,0.5,"Fibroblast","FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,LOC123477708,LOC107986939,USP2-AS1,LOC110120683,RPL26P37,NCKAP5-IT1,FEZF2,RIMS4,SMURF2P1,LOC105369718,MIR4481,SEZ6L2,LOC111828512,RNU6-1205P","Fibroblasts"
4,0.5,"Luminal Epithelial","HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,GOLGA8N,RPL19P15,LOC121056742,LOC105369881,RPL7P22,LOC390600,ZNF343,PRKX-AS1","Breast Cells"
4,0.5,"Lymphatic Endothelial","LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,OR4F5,LINC02772,RPL7P14","Lymphatic Endothelial Cells"
4,0.5,"Macrophage","MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,SORCS3,SCNN1D,KATNAL1,SULT1A4,RASGEF1C,TPT1P15,LOC123038184,RN7SL607P,DZIP1L","Macrophages"
4,0.5,"Mast Cell","TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,LOC116186912,LOC105379409,LOC105376839","Mast Cells"
4,0.5,"Myoepithelial (Basal)","ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,RAB3B,AFF4,MIR4428,NBPF18P","Basal Cells"
4,0.5,"Pericyte","ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,VPS26AP1,RPS29P6,RN7SKP72,TPT1P12","Smooth Muscle Cells"
4,0.5,"Smooth Muscle","CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,USP9YP18,LOC107984437,LURAP1L,LOC112935932,MIR30D,PKP3,LOC110120764","Smooth Muscle Cells"
4,0.5,"T cell","CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,ZNF570,LOC107984567,LOC101928331,VENTXP7,SMURF1,PLCH1-AS1","T cells"
4,0.5,"Vascular Endothelial","LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,LOC105373194,LOC105374304,VAPA,ACOT12,NACC1,OR13K1P,CCL15-CCL14","Endothelial Cells"
4,0.75,"Adipocyte","EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,TNFSF14,EEF1A1P3,ACVRL1,LOC121392956,RNU4-76P,S100A11P10,E2F3P2","Adipocytes"
4,0.75,"B cell_memory","CR2,CD24,FAS,CXCR3,CD1c,LOC124310585,RPS3AP16,LOC105378088","B cells"
4,0.75,"Fibroblast","FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,LOC102724672,RNA18S1,MIR3142,ERVW-8,LOC111365206,CYP1A2,IFNG,TRT-AGT3-1,PIERCE2,LOC116268471,RIOK3,PSPC1,ALG1L9P,LOC110121063,LOC112268419,GRIFIN,BBIP1,LINC01661,CTSS,LOC100130618,RBBP4P4","Fibroblasts"
4,0.75,"Luminal Epithelial","HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,DNAJB1P1,OR4F13P,LOC110673971,LOC113687201,CFAP44,RPS27P16,MIR4506,LOC113875031,GNGT2,PGAM1P8,RPL23AP95,PELI2","Luminal Epithelial Cells"
4,0.75,"Lymphatic Endothelial","LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,LOC121832836,LOC102723630,LOC105370821,OR2H2,LINC01502","Lymphatic Endothelial Cells"
4,0.75,"Macrophage","MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,LOC112268011,LOC105376410,MORF4L1P2,CSGALNACT2P1,SNORD150,LOC123956208,H4C13,MTATP8P1,LOC105377473,EFCAB14-AS1,POROK5,ELOBP3,LOC107984872,LOC101929552","Macrophages"
4,0.75,"Mast Cell","TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,LOC105370094,C20orf96,MIR6130,LOC105373151","Mast Cells"
4,0.75,"Myoepithelial (Basal)","ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,KRT8P29,NUDT15P2,MARK2,LINC01067,RN7SL446P,EIF4BP7","Basal Epithelial Cells"
4,0.75,"Pericyte","ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,LOC121853001,SMSP1,LINC01674,ZBED9-AS1,LOC112806054,LOC100129942","Pericytes"
4,0.75,"Smooth Muscle","CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,RFX3-DT,LOC110121105,RNASE2CP,PPP2CB,LOC107984823,LOC123522806,LRRC59,LOC100420779,LOC108228207,MIR138-2,LOC107986182","Smooth Muscle Cells"
4,0.75,"T cell","CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,LOC105370910,LOC110120859,CYP3A4,NMT1,NASPP1,CDKN2D,RBM19,CUPIN1P,LOC121466710","T cells"
4,0.75,"Vascular Endothelial","LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,LOC100422368,RNU6-260P,RNU6-1230P,SNORA95,MANEALP1,TRAPPC1,SNORD116-12,LOC121838559,TMPRSS11D,KRTAP4-5","Endothelial Cells"
4,1,"Adipocyte","EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,LOC107983960,FAM131A,PAF1,RNA5SP499,SNHG22,SLC35E4,SMG1P6,LOC105378936,RN7SL408P,LOC110120683","Adipocytes"
4,1,"B cell_memory","CR2,CD24,FAS,CXCR3,CD1c,LOC105376625,DEL1Q41Q42,MIR3155B,LOC105371910,USP9YP16","B cells"
4,1,"Fibroblast","FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,RPL7AP52,VIM2P,CMT2G,LOC101928786,LOC105369313,VDI,LOC105371939,FAM133A,RUSC1-AS1,SH3BP5L,GXYLT1P2,LOC121132682,LOC100422501,LOC107984948,DUX4L24,LOC105379321,LOC112577567,LOC105369625,LOC105372880,LOC112577559,LOC107986154,DEL1P36,PALS1,LOC102724510,LOC112340379,LOC105371095,CLQTL1,LOC105370409","Fibroblasts"
4,1,"Luminal Epithelial","HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,LOC105372242,LOC105372118,ECI1-AS1,PI4K2A,LOC105373576,LINC00837,H4C10P,RNU5A-5P,LOC112268296,ERV3-1,LINC02345,LOC116268464,RPL36AP38,SMIM26,LINC01154,DUX4L20,RNU7-157P","Breast Epithelial Cells"
4,1,"Lymphatic Endothelial","LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,ATP7B,RN7SL497P,P2RX7,ACTL9,NLRP3,RNU6-795P,LOC100419975","Lymphatic Endothelial Cells"
4,1,"Macrophage","MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,RNU7-48P,LOC121725077,RIMOC1,LOC105371605,REXO1L9P,ENO1P3,RNU6-1240P,TECTB,LOC105379340,FAM99A,LOC105371631,LOC106007490,LOC107984261,LOC107985406,LINC01149,KIRREL3-AS1,LOC124110275,TRN-GTT16-3,MRPL28","Macrophages"
4,1,"Mast Cell","TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,RPL6P30,LOC105372770,LOC123864073,CSNK1G2-AS1,WARS1P1,LOC116216119","Mast Cells"
4,1,"Myoepithelial (Basal)","ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,MMUT,LOC112577599,LOC110120776,OSCAR,RPS11P2,STX7,CICP17,DDIAS","Basal Cells"
4,1,"Pericyte","ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,COMA,MIR1255B2,LOC100129262,NRBF2P4,LOC113748396,RNY3P12,RN7SL50P,ELOA2","Smooth Muscle Cells"
4,1,"Smooth Muscle","CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,LOC112272610,LOC105370204,CASP4LP,LINC02624,H2AP,LOC112268416,TMEM30A-DT,EMC1-AS1,ANIB3,RNY3P6,RNU7-181P,MTCO3P26,PACSIN1,CCT6P3,GPR3","Smooth Muscle Cells"
4,1,"T cell","CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,LOC121853037,MTND3P4,LAMTOR2,ERI2,HSBP1L1,RPL30P15,LINC02000,LOC646927,EJM4,HMGN2P36,HABP2,PRUNEP1,LOC110121267","T cells"
4,1,"Vascular Endothelial","LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,LOC644060,LOC100422548,LOC105370366,MTND1P12,CRYGEP,CNGA4,SNORD164,RNU6-347P,YUHAL,RNA5SP173,IGKV2OR2-10,RN7SL330P,LOC112267870,LRTM1","Endothelial Cells"
5,0.25,"Adipocyte","EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,EFHD2,KCNH7","Adipocytes"
5,0.25,"B cell_memory","CR2,CD24,FAS,CXCR3,CD1c,LOC100288208","B cells"
5,0.25,"Fibroblast","FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,LOC101928961,CD59,ZNF597,LOC105377104,SGSH,LOC100289561,COX7B","Fibroblasts"
