"dataset","tissue","marker","manual_annotation","manual_CLname","manual_CLID","manual_broadtype","gpt4aug3_annotation","gpt4aug3_CLname","gpt4aug3_CLID","gpt4aug3_broadtype","gpt4aug3_agreement","gpt4mar23_annotation","gpt4mar23_CLname","gpt4mar23_CLID","gpt4mar23_broadtype","gpt4mar23_agreement","gpt3.5aug3_annotation","gpt3.5aug3_CLname","gpt3.5aug3_CLID","gpt3.5aug3_broadtype","gpt3.5aug3_agreement","CellMarker2.0_annotation","CellMarker2.0_CLname","CellMarker2.0_CLID","CellMarker2.0_broadtype","CellMarker2.0_agreement","SingleR_annotation","SingleR_CLname","SingleR_CLID","SingleR_broadtype","SingleR_agreement","ScType_annotation","ScType_CLname","ScType_CLID","ScType_broadtype","ScType_agreement"
"Azimuth","Tonsil","E2F8, CDCA2, NUGGC, CLSPN, ANLN, MYBL1, FAM111B, KIF4A, NUF2, GTSE1","Cycling B",NA,NA,"b cell","Cell cycle cells",NA,NA,NA,0,"Proliferating cells",NA,NA,NA,0,"Proliferating Cells",NA,NA,NA,0,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Tonsil","S100A1, ERH, NPM1, C1QBP, MIF, CXCL14, PRMT1, RPLP0, YBX1, POLR2I","Cycling follicular dendritic",NA,NA,"dendritic cell","Macrophages","macrophage","CL:0000235","macrophage/monocyte",0.5,"Stromal cells","stromal cell","CL:0000499","stromal cell",0,"Epithelial Cells","epithelial cell","CL:0000066","epithelial cell",0,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Tonsil","CIT, KPNA2, CSF1R, POLQ, CKAP2L, KIF14, AURKA, MMP9, KIF15, AURKB","Cycling myeloid",NA,NA,"myeloid cell","Macrophages","macrophage","CL:0000235","macrophage/monocyte",0,"Macrophages","macrophage","CL:0000235","macrophage/monocyte",0,"Monocytes/Macrophages","monocyte,macrophage","CL:0000576,CL:0000235","macrophage/monocyte",0,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Tonsil","IL21, CTLA4, CORO1B, MAF, KIF15, SMC3, RRM2, PDCD1, SPOCK2, ICOS","Cycling T",NA,NA,"t/nk cell","Regulatory T cells","regulatory T cell","CL:0000815","t/nk cell",0.5,"T follicular helper cells","T follicular helper cell","CL:0002038","t/nk cell",0.5,"T Helper Cells","helper T cell","CL:0000912","t/nk cell",0.5,"T helper cell","helper T cell","CL:0000912","t/nk cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Tonsil","CLEC9A, ZNF366, CLEC10A, ST18, RTN1, LAD1, AC090559.1, CPVL, CCDC26, SHTN1","Dendritic","dendritic cell","CL:0000451","dendritic cell","Dendritic cells","dendritic cell","CL:0000451","dendritic cell",1,"Dendritic cells","dendritic cell","CL:0000451","dendritic cell",1,"Dendritic Cells","dendritic cell","CL:0000451","dendritic cell",1,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Tonsil","FGFBP2, PTPN3, LAYN, FASLG, IL19, CAV1, MIR4422HG, DTHD1, PRDM8, CD5","Double negative T","double negative thymocyte","CL:0002489","t/nk cell","Regulatory T cells","regulatory T cell","CL:0000815","t/nk cell",0.5,"T regulatory cells","regulatory T cell","CL:0000815","t/nk cell",0.5,"Fibroblasts","fibroblast","CL:0000057","fibroblast",0,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Tonsil","IL36A, C5orf66-AS1, MAB21L4, RNF39, FUT3, SPRR1A, C1orf116, KLK11, RNASE7, PADI1","Epithelial","epithelial cell","CL:0000066","epithelial cell","Keratinocytes","keratinocyte","CL:0000312","epithelial cell",0.5,"Epithelial cells","epithelial cell","CL:0000066","epithelial cell",1,"Tonsillar Epithelial Cells",NA,NA,"epithelial cell",0.5,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Tonsil","AL139379.1, NR2F1, NR2F2-AS1, OSMR-AS1, SERPINA3, LINC02251, TCIM, GABRG3, CACNA2D1, DZIP1","Follicular dendritic","follicular dendritic cell","CL:0000442","dendritic cell","Adipocytes","fat cell","CL:0000136","fat cell",0,"Stromal cells","stromal cell","CL:0000499","stromal cell",0,"Tonsillar Epithelial Cells",NA,NA,"epithelial cell",0,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Tonsil","SERPINA9, SUGCT, LOXL2, MEF2B, ELL3, CD40, SYBU, DNAJC10, SUSD3, AC012368.1","Germinal center B","germinal center B cell","CL:0000844","b cell","B cells","B cell","CL:0000236","b cell",0.5,"Germinal center B cells","germinal center B cell","CL:0000844","b cell",1,"Monocytes/Macrophages","monocyte,macrophage","CL:0000576,CL:0000235","macrophage/monocyte",0.5,"B cell","B cell","CL:0000236","b cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Tonsil","ADGRG3, FCGR3B, MCEMP1, ORM1, CXCL2, PI3, AQP9, SLC11A1, CXCL8, G0S2","Granulocytes","granulocyte","CL:0000094","granulocyte","Neutrophils","neutrophil","CL:0000775","granulocyte",0.5,"Neutrophils","neutrophil","CL:0000775","granulocyte",0.5,"Monocytes/Macrophages","monocyte,macrophage","CL:0000576,CL:0000235","macrophage/monocyte",0,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Tonsil","KRT81, KRT86, SLC4A10, SH2D1B, RORC, IL23R, LIF, TNFSF11, NCR1, XCL1","Innate lymphoid","innate lymphoid cell","CL:0001065","innate lymphoid cell","Natural Killer cells","natural killer cell","CL:0000623","t/nk cell",0.5,"Innate lymphoid cells (ILC3)","group 3 innate lymphoid cell","CL:0001071","innate lymphoid cell",0.5,"Th17 Cells","T-helper 17 cell","CL:0000899","t/nk cell",0.5,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Tonsil","TAL1, AL157895.1, TPSD1, ADCYAP1, IL1RL1, CDK15, HDC, GCSAML, MLPH, CALB2","Mast","mast cell","CL:0000097","granulocyte","Mast cells","mast cell","CL:0000097","granulocyte",1,"Mast cells","mast cell","CL:0000097","granulocyte",1,"T Helper Cells","helper T cell","CL:0000912","t/nk cell",0.5,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Tonsil","FCRL4, TNFRSF13B, BHLHE41, CLECL1, FCGR2B, SP110, SP140, CCR6, TLR10, FCRL2","Memory B","memory B cell","CL:0000787","b cell","B cells","B cell","CL:0000236","b cell",0.5,"Memory B cells","memory B cell","CL:0000787","b cell",1,"B Cells","B cell","CL:0000236","b cell",0.5,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Tonsil","AC104809.2, CD163, SULT1C2, VCAN, FPR3, CD163L1, TCN2, STAB1, VNN1, RTN1","Monocyte/macrophage","monocyte,macrophage","CL:0000576,CL:0000235","macrophage/monocyte","Monocytes","monocyte","CL:0000576","macrophage/monocyte",0.5,"M2 macrophages","alternatively activated macrophage","CL:0000890","macrophage/monocyte",0.5,"Monocytes/Macrophages","monocyte,macrophage","CL:0000576,CL:0000235","macrophage/monocyte",1,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Tonsil","ABCB4, HVCN1, LINC00926, LINC02397, SP100, VAV3-AS1, COL19A1, RABEP2, FCER2, IGHD","Naive B","naive B cell","CL:0000788","b cell","B cells","B cell","CL:0000236","b cell",0.5,"B cells","B cell","CL:0000236","b cell",0.5,"B Cells","B cell","CL:0000236","b cell",0.5,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Tonsil","CHRM3-AS2, TOMM7, RPL30, ITGA6, LDHB, NOSIP, RPS25, RPS14, RPS15A, RPL11","Naive CD4 T","naive thymus-derived CD4-positive, alpha-beta T cell","CL:0000895","t/nk cell","Epithelial cells","epithelial cell","CL:0000066","epithelial cell",0,"Epithelial cells","epithelial cell","CL:0000066","epithelial cell",0,"Follicular Dendritic Cells","follicular dendritic cell","CL:0000442","dendritic cell",0,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Tonsil","LINC02446, CD8B, LRRN3, LDLRAP1, CD8A, CCR7, NELL2, PRKCQ-AS1, RCAN3, RPS12","Naive CD8 T","naive thymus-derived CD8-positive, alpha-beta T cell","CL:0000900","t/nk cell","T cells","T cell","CL:0000084","t/nk cell",0.5,"Naive CD8+ T cells","naive thymus-derived CD8-positive, alpha-beta T cell","CL:0000900","t/nk cell",1,"T Cells","T cell","CL:0000084","t/nk cell",0.5,"AIRE-enriched cell",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Tonsil","KIR2DL4, SPTSSB, SH2D1B, ZMAT4, KLRC1, KLRC2, KLRC3, NCR1, NCAM1, XCL2","Natural killer","natural killer cell","CL:0000623","t/nk cell","Natural Killer cells","natural killer cell","CL:0000623","t/nk cell",1,"Natural killer (NK) cells","natural killer cell","CL:0000623","t/nk cell",1,"Natural Killer Cells","natural killer cell","CL:0000623","t/nk cell",1,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Tonsil","IGKV1-6, IGHV3-21, IGKV1-39, IGLV3-27, IGLV3-19, IGLV4-69, IGKV3-15, IGHV1-18, IGHV4-34, IGLV2-23","Plasma","plasma cell","CL:0000786","b cell","B cells","B cell","CL:0000236","b cell",0.5,"B cells (specifically those producing immunoglobulins)","B cell","CL:0000236","b cell",0.5,"B Cells","B cell","CL:0000236","b cell",0.5,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Tonsil","AC097375.1, CYYR1, C5orf64, KCNK17, KCNK10, LCNL1, LINC01478, ADGRB3, RASD1, LINC02207","Plasmacytoid dendritic","plasmacytoid dendritic cell","CL:0000784","dendritic cell","Neurons","neuron","CL:0000540","neuron",0,"Endothelial cells","endothelial cell","CL:0000115","endothelial cell",0,"B Cells","B cell","CL:0000236","b cell",0.5,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Tonsil","RAG2, SPTA1, ARPP21, VPREB1, RAG1, HRK, IGLL1, MME, ACSM3, AEBP1","preB/T",NA,NA,"leukocyte","Precursor B cells","precursor B cell","CL:0000817","b cell",0.5,"Immature B cells","immature B cell","CL:0000816","b cell",0.5,"B Cells","B cell","CL:0000236","b cell",0.5,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Adipose","GPAM, ADIPOQ, ACACB, PCDH9, GHR, TRHDE, SORBS1, PLIN1, PDE3B, WDPCP","Adipocyte","fat cell","CL:0000136","fat cell","Adipocytes","fat cell","CL:0000136","fat cell",1,"Mature adipocytes",NA,NA,"fat cell",0.5,"Adipocytes","fat cell","CL:0000136","fat cell",1,"Adipocyte","fat cell","CL:0000136","fat cell",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Adipose","IGKC, MS4A1, BANK1, IGHG1, IGLC3, IGHGP, FCRL1, BCL11A, IGHA1, JCHAIN","B","B cell","CL:0000236","b cell","B cells","B cell","CL:0000236","b cell",1,"B cells","B cell","CL:0000236","b cell",1,"B Cells","B cell","CL:0000236","b cell",1,"B cell","B cell","CL:0000236","b cell",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Adipose","HLA-DRB1, FLT3, HLA-DPB1, HLA-DRA, HLA_DQA1, IL1R2, HLA-DPA1, HLA-DQB1, CD74, RTN1","Dendritic","dendritic cell","CL:0000451","dendritic cell","Dendritic cells","dendritic cell","CL:0000451","dendritic cell",1,"Dendritic cells","dendritic cell","CL:0000451","dendritic cell",1,"Antigen-Presenting Cells","professional antigen presenting cell","CL:0000145","antigen presenting cell",0.5,"Dendritic cell","dendritic cell","CL:0000451","dendritic cell",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Adipose","KCNIP4, DPP6, PRLR, MEIS1, SYT1, AC012404.1, CNTN4, RORA, PAPPA, TSHZ2","Endometrial",NA,NA,"uterus cell","Neuronal cells","neuron","CL:0000540","neuron",0,"Mesenchymal stem cells","mesenchymal stem cell","CL:0000134","stem cell",0,"Neurons","neuron","CL:0000540","neuron",0,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Adipose","MECOM, PTRB, VWF, ANO2, BTNL9, LDB2, ADGRL4, PTPRM, JAM2, CADM2","Endothelial","endothelial cell","CL:0000115","endothelial cell","Endothelial cells","endothelial cell","CL:0000115","endothelial cell",1,"Endothelial cells","endothelial cell","CL:0000115","endothelial cell",1,"Endothelial Cells","endothelial cell","CL:0000115","endothelial cell",1,"Epithelial cell","epithelial cell","CL:0000066","epithelial cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Adipose","MMRN1, CCL21, AL357507.1, PROX1, PPFIBP1, NRG3, RELN, STOX2, TFPI, LINC02147","Lymphatic Endothelial","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell","Lymphatic endothelial cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1,"Lymphatic endothelial cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1,"Lymphatic Endothelial Cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Adipose","F13A1, MRC1, LGMN, FTL, CYBB, RBPJ, FRMD4B, SCN9A, CD163L1, IQGAP2","Macrophage","macrophage","CL:0000235","macrophage/monocyte","Macrophages","macrophage","CL:0000235","macrophage/monocyte",1,"Macrophages","macrophage","CL:0000235","macrophage/monocyte",1,"Monocytes/Macrophages","monocyte,macrophage","CL:0000576,CL:0000235","macrophage/monocyte",0.5,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Adipose","CPA3, KIT, TPSB2, NTM, TPSAB1, HGPD, MS4A2, SLC24A3, HDC, IL18R1","Mast","mast cell","CL:0000097","granulocyte","Mast cells","mast cell","CL:0000097","granulocyte",1,"Mast cells","mast cell","CL:0000097","granulocyte",1,"Mast Cells","mast cell","CL:0000097","granulocyte",1,"Mast cell","mast cell","CL:0000097","granulocyte",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Adipose","AP000561.1, AC005699.1, LINC02360, MSLN, KCTD8, PKHD1L1, COL8A1, LSAMP, PTPRQ, FAM155A","Mesothelial","mesothelial cell","CL:0000077","epithelial cell","Mesothelial cells","mesothelial cell","CL:0000077","epithelial cell",1,"Fibroblasts","fibroblast","CL:0000057","fibroblast",0,"Unknown/Unspecified",NA,NA,NA,0,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Adipose","VCAN, FCN1, SLC11A1, CSF3R, IL1B, KYNU, SAMSN1, CTSS, RNF144B, COTL1","Monocyte","monocyte","CL:0000576","macrophage/monocyte","Monocytes","monocyte","CL:0000576","macrophage/monocyte",1,"Neutrophils","neutrophil","CL:0000775","granulocyte",0,"Monocytes/Macrophages","monocyte,macrophage","CL:0000576,CL:0000235","macrophage/monocyte",0.5,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Adipose","CSF3R, EPHB1, SORL1, GLT1D1, KCNJ15, SLC25A37, LUCAT1, CPPED1, LRRK2, MXD1","Neutrophil","neutrophil","CL:0000775","granulocyte","Erythroid cells","erythroid lineage cell","CL:0000764","erythroid cell",0,"Myeloid cells","myeloid cell","CL:0000763","myeloid cell",0,"Monocytes/Macrophages","monocyte,macrophage","CL:0000576,CL:0000235","macrophage/monocyte",0,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Adipose","GNLY, CD247, SAMD3, NKG7, KLRD1, TXK, PYHIN1, CCL5, CCL4, KLRF1","NK","natural killer cell","CL:0000623","t/nk cell","Natural Killer cells","natural killer cell","CL:0000623","t/nk cell",1,"Cytotoxic T cells or Natural Killer (NK) cells","cytotoxic T cell,natural killer cell","CL:0000910,CL:0000623","t/nk cell",0.5,"Natural Killer Cells","natural killer cell","CL:0000623","t/nk cell",1,"Natural killer cell","natural killer cell","CL:0000623","t/nk cell",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Adipose","COL25A1, POSTN, DLC1, STEAP4, MYO1B, RGS5, EBF2, THSD7B, KCNAB1, RGS6","Pericyte","pericyte","CL:0000669","pericyte","Fibroblasts","fibroblast","CL:0000057","fibroblast",0.5,"Pericytes","pericyte","CL:0000669","pericyte",1,"Fibroblasts","fibroblast","CL:0000057","fibroblast",0.5,"Beige adipogenic precursor cell",NA,NA,"progenitor cell",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Adipose","MYH11, TAGLN, ADGRL3, SORBS2, RCAN2, MYOCD, LMOD1, CARMN, CALD1, RGS6","Smooth Muscle","smooth muscle cell","CL:0000192","muscle cell","Smooth muscle cells","smooth muscle cell","CL:0000192","muscle cell",1,"Vascular smooth muscle cells","vascular associated smooth muscle cell","CL:0000359","muscle cell",0.5,"Smooth Muscle Cells","smooth muscle cell","CL:0000192","muscle cell",1,"Vascular smooth muscle cell(VSMC)","vascular associated smooth muscle cell","CL:0000359","muscle cell",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Adipose","IL7R, THEMIS, CAMK4, BCL11B, ITK, ANK3, CD96, TC2N, SKAP1, CD2","T","T cell","CL:0000084","t/nk cell","T cells","T cell","CL:0000084","t/nk cell",1,"T cells","T cell","CL:0000084","t/nk cell",1,"T Cells","T cell","CL:0000084","t/nk cell",1,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Heart","GPAM, ACACB, GHR, PDE3B, FASN, PRKAR2B, MGST1, PLIN1, LINC00598, SLC19A3","Adipocyte","fat cell","CL:0000136","fat cell","Cardiomyocytes","cardiac muscle cell","CL:0000746","muscle cell",0,"Cardiomyocytes","cardiac muscle cell","CL:0000746","muscle cell",0,"Cardiomyocytes","cardiac muscle cell","CL:0000746","muscle cell",0,"Adipocyte","fat cell","CL:0000136","fat cell",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Heart","LINC00639, ARL15, MECOM, IGFBP3, PCSK5, TM4SF1, EFNB2, DLL4, HEY1, GJA5","Arterial Endothelial","endothelial cell of artery","CL:1000413","endothelial cell","Endothelial Cells","endothelial cell","CL:0000115","endothelial cell",0.5,"Endothelial cells","endothelial cell","CL:0000115","endothelial cell",0.5,"Endothelial Cells","endothelial cell","CL:0000115","endothelial cell",0.5,"Cardiomyocyte","cardiac muscle cell","CL:0000746","muscle cell",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Heart","MYL7, FGF12, MYH6, ANKRD1, RYR2, ERBB4, TTN, CMYA5, NPPA, MYL7","Atrial Cardiomyocyte","regular atrial cardiac myocyte","CL:0002129","muscle cell","Cardiomyocytes","cardiac muscle cell","CL:0000746","muscle cell",0.5,"Atrial cardiomyocytes","regular atrial cardiac myocyte","CL:0002129","muscle cell",1,"Myocytes","muscle cell","CL:0000187","muscle cell",0.5,"Atrial cell",NA,NA,"heart cell",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Heart","IGKC, IGHM, IGHA1, AFF3, BANK1, IFNG-AS1, GNG7, MZB1, RALGPS2, MS4A1","B","B cell","CL:0000236","b cell","B cells","B cell","CL:0000236","b cell",1,"B cells","B cell","CL:0000236","b cell",1,"B Cells","B cell","CL:0000236","b cell",1,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Heart","BTNL9, FABP5, IFI27, RGCC, F8, MGLL, CA4, ADGRF5, ABLIM3, FLT1","Capillary Endothelial",NA,NA,"endothelial cell","Epithelial cells","epithelial cell","CL:0000066","epithelial cell",0.5,"Smooth muscle cells","smooth muscle cell","CL:0000192","muscle cell",0,"Endothelial Cells","endothelial cell","CL:0000115","endothelial cell",0.5,"Cardiovascular progenitor cell",NA,NA,"progenitor cell",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Heart","PCDH15, EGFL7, NRG3, LEPR, NRG1, POSTN, PCDH7, TMEM132C, CDH11, TMEM108","Endocardial","endocardial cell","CL:0002350","endothelial cell","Neurons","neuron","CL:0000540","neuron",0,"Fibroblasts","fibroblast","CL:0000057","fibroblast",0,"Fibroblasts","fibroblast","CL:0000057","fibroblast",0,"Astrocyte","astrocyte","CL:0000127","astrocyte",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Heart","MYRIP, POSTN, NRG3, LDB2, SLCO2A1, ANO2, VWF, FAM155A, IL1R1, KCNIP4","Endothelial","endothelial cell","CL:0000115","endothelial cell","Endothelial cells","endothelial cell","CL:0000115","endothelial cell",1,"Pericytes","pericyte","CL:0000669","pericyte",0,"Myocytes","muscle cell","CL:0000187","muscle cell",0,"Endothelial cell","endothelial cell","CL:0000115","endothelial cell",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Heart","DCN, APOD, ACSM3, CFD, ABCA9, NEGR1, LAMA2, ABCA6, ABCA8, KAZN","Fibroblast","fibroblast","CL:0000057","fibroblast","Smooth Muscle Cells","smooth muscle cell","CL:0000192","muscle cell",0,"Adventitial cells","adventitial cell","CL:0002503","adventitial cell",0,"Fibroblasts","fibroblast","CL:0000057","fibroblast",1,"Fibroblast","fibroblast","CL:0000057","fibroblast",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Heart","KIT, IL18R1, RD3, CPA3, SLC38A11, SLC8A3, TPSAB1, HDC, MS4A2, OR8A1","ILC","innate lymphoid cell","CL:0001065","innate lymphoid cell","Mast Cells","mast cell","CL:0000097","granulocyte",0.5,"Mast cells","mast cell","CL:0000097","granulocyte",0.5,"Mast Cells","mast cell","CL:0000097","granulocyte",0.5,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Heart","CCL21, MMRN1, RELN, PKHD1L1, SEMA3A, PPFIBP1, TFPI, SNTG2, EFNA5, PROX1","Lymphatic Endothelial","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell","Lymphatic Endothelial Cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1,"Lymphatic endothelial cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1,"Endothelial Cells","endothelial cell","CL:0000115","endothelial cell",0.5,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Heart","F13A1, RBPJ, MRC1, CD163, COLEC12, RBM47, FMN1, MS4A6A, STAB1, FRMD4B","Macrophage","macrophage","CL:0000235","macrophage/monocyte","Macrophages","macrophage","CL:0000235","macrophage/monocyte",1,"Macrophages","macrophage","CL:0000235","macrophage/monocyte",1,"Monocytes/Macrophages","monocyte,macrophage","CL:0000576,CL:0000235","macrophage/monocyte",0.5,"M2 macrophage","alternatively activated macrophage","CL:0000890","macrophage/monocyte",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Heart","SLC24A3, IL18R1, CPA3, NTM, KIT, SLC8A3, SLC38A11, CDK15, HPGDS, RAB27B","Mast","mast cell","CL:0000097","granulocyte","Mast Cells","mast cell","CL:0000097","granulocyte",1,"Eosinophils","eosinophil","CL:0000771","granulocyte",0.5,"Mast Cells","mast cell","CL:0000097","granulocyte",1,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Heart","ITLN1, PDZRN4, SLC39A8, PRG4, GFPT2, C3, KCNT2, WWC1, HAS1, RBFOX1","Mesothelial","mesothelial cell","CL:0000077","epithelial cell","Chondrocytes","chondrocyte","CL:0000138","stromal cell",0,"Mesenchymal cells","mesenchymal cell","CL:0008019","mesenchymal cell",0,"Endothelial Cells","endothelial cell","CL:0000115","endothelial cell",0.5,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Heart","S100A8, S100A9, CD163, MSR1, SLC11A1, FMN1, RBM47, ITGAX, ADAM28, FLT3, CD74","Monocyte/cDC","monocyte,conventional dendritic cell","CL:0000576,CL:0000990","macrophage/monocyte,dendritic cell","Monocytes","monocyte","CL:0000576","macrophage/monocyte",0.5,"Monocytes","monocyte","CL:0000576","macrophage/monocyte",0.5,"Monocytes/Macrophages","monocyte,macrophage","CL:0000576,CL:0000235","macrophage/monocyte",0.5,"M2 macrophage","alternatively activated macrophage","CL:0000890","macrophage/monocyte",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Heart","NRXN1, NRXN3, CADM2, XKR4, CDH19, ADGRB3, CHL1, NCAM2, KIRREL3, SORCS1","Neuronal","neuron","CL:0000540","neuron","Neurons","neuron","CL:0000540","neuron",1,"Neurons","neuron","CL:0000540","neuron",1,"Neurons","neuron","CL:0000540","neuron",1,"Neuron","neuron","CL:0000540","neuron",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Heart","GNLY, NKG7, CD247, TXK, KLRD1, CCL4, CCL5, AOAH, PRF1, PARP8","NK","natural killer cell","CL:0000623","t/nk cell","Cytotoxic T Cells","cytotoxic T cell","CL:0000910","t/nk cell",0.5,"Natural killer cells","natural killer cell","CL:0000623","t/nk cell",1,"Natural Killer Cells","natural killer cell","CL:0000623","t/nk cell",1,"NA",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Heart","RGS5, ABCC9, GUCY1A2, EGFLAM, DLC1, FRMD3, PDGFRB, AGT, PLA2G5, EPS8","Pericyte","pericyte","CL:0000669","pericyte","Pericytes","pericyte","CL:0000669","pericyte",1,"Pericytes","pericyte","CL:0000669","pericyte",1,"Smooth Muscle Cells","smooth muscle cell","CL:0000192","muscle cell",0,"Progenitor cell","progenitor cell","CL:0011026","progenitor cell",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Heart","MYH11, ITGA8, ACTA2, CARMN, KCNAB1, TAGLN, ZFHX3, PRKG1, NTRK3, RCAN2","Smooth Muscle","smooth muscle cell","CL:0000192","muscle cell","Smooth Muscle Cells","smooth muscle cell","CL:0000192","muscle cell",1,"Vascular smooth muscle cells","vascular associated smooth muscle cell","CL:0000359","muscle cell",0.5,"Smooth Muscle Cells","smooth muscle cell","CL:0000192","muscle cell",1,"Progenitor cell","progenitor cell","CL:0011026","progenitor cell",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azimuth","Heart","IL7R, THEMIS, ITK, PARP8, CAMK4, SKAP1, TC2N, BCL11B, PTPRC, PRKCQ","T","T cell","CL:0000084","t/nk cell","T cells","T cell","CL:0000084","t/nk cell",1,"T cells","T cell","CL:0000084","t/nk cell",1,"T Cells","T cell","CL:0000084","t/nk cell",1,"B cell","B cell","CL:0000236","b cell",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
