"dataset","tissue","marker","manual_annotation","manual_CLname","manual_CLID","manual_broadtype","gpt4aug3_annotation","gpt4aug3_CLname","gpt4aug3_CLID","gpt4aug3_broadtype","gpt4aug3_agreement"
"MCA_top10",NA,"Calb1, Rprm, Wfdc2, Wfdc15b, Cldn6, Mdk, Hoxb7, Cldn7, Ldhb, Ptma","Kidney epithelial","kidney epithelial cell","CL:0002518","epithelial cell","Urothelial Cells","urothelial cell","CL:0000731","epithelial cell",0.5
"MCA_top10",NA,"Chga, Pcsk2, Chgb, Pyy, Pcsk1n, Iapp, Resp18, Ins2, Gcg, Scg2","Endocrine cell","endocrine cell","CL:0000163","secretory cell","Pancreatic Islet Cells",NA,NA,"pancreatic cell",0
"MCA_top10",NA,"Prss34, Mcpt8, Prg2, Cpa3, Fcer1a, Ms4a2, Srgn, Cd200r3, Ifitm1, Gata2","Mast cell","mast cell","CL:0000097","granulocyte","Mast Cells","mast cell","CL:0000097","granulocyte",1
"MCA_top10",NA,"Pga5, Col4a2, Col4a1, Lama1, Ctsl, Aqp8, Gkn2, Serpinh1, Txndc12, Lrpap1","Placenta endodermal cell",NA,NA,"embryonic cell","Gastric Parietal Cells","parietal cell","CL:0000162","epithelial cell",0
"MCA_top10",NA,"Tpbpa, Tpbpb, Prl3b1, Prl2b1, Ceacam11, Prl8a9, Ceacam14, Psg21, Prl8a8, Ceacam12","Spongiotrophoblast","spongiotrophoblast cell","CL:0002499","extraembryonic cell","Trophoblasts","trophoblast cell","CL:0000351","extraembryonic cell",0.5
"MCA_top10",NA,"Dynlrb2, Scgb1a1, Cyp2f2, Scgb3a2, Riiad1, Ccdc153, Tmem212, Mt3, Lrrc23, Fam183b","Clara Cell","club cell","CL:0000158","epithelial cell","Club Cells","club cell","CL:0000158","epithelial cell",1
"MCA_top10",NA,"Atp6v1g3, Tmem213, Atp6v1a, mt-Nd5, Spink8, Car12, Atp6v1b1, Rhcg, Atp6v0d2, Clcnkb","Intercalated cells of collecting duct","kidney collecting duct intercalated cell","CL:1001432","epithelial cell","Interconnecting Tubule Cells","kidney tubule cell","CL:1000507","epithelial cell",0.5
"MCA_top10",NA,"Sprr2f, Fam213a, Padi1, Fxyd4, Tmem213, Ltf, Spink12, Lcn2, Clca1, Wfdc2","Principal cells of cortical collecting duct","kidney cortex collecting duct principal cell","CL:1000714","epithelial cell","Keratinocytes","keratinocyte","CL:0000312","epithelial cell",0.5
"MCA_top10",NA,"Cd9, Ear2, Chil3, Ccl6, Ear1, Atp6v0d2, Krt79, Ctss, Ctsd, Lgals3","Eosinophil","eosinophil","CL:0000771","granulocyte","Macrophages","macrophage","CL:0000235","macrophage/monocyte",0
"MCA_top10",NA,"Ttr, 1500015O10Rik, Sostdc1, Kcnj13, Defb11, Kcne2, Igfbp2, Trpm3, Slc6a15, Folr1","Schwann cell","Schwann cell","CL:0002573","glial cell","Renal Cells","kidney cell","CL:1000497","kidney cell",0
"MCA_top10",NA,"Atp1a2, Aldoc, Gpr37l1, Atp1b2, Ntsr2, Slc1a3, Slc1a2, Sparcl1, Ndrg2, Pla2g7","Astrocyte","astrocyte","CL:0000127","astrocyte","Astrocytes","astrocyte","CL:0000127","astrocyte",1
"MCA_top10",NA,"Serpina1c, Apoc3, Apoc1, Bhmt, Akr1c6, Apoa2, Serpina1b, Serpina1a, Gsta3, Mat1a","Hepatocyte","hepatocyte","CL:0000182","epithelial cell","Hepatocytes","hepatocyte","CL:0000182","epithelial cell",1
"MCA_top10",NA,"Col2a1, Col9a1, Col9a3, Cdkn1c, Col9a2, Matn4, H19, Serpinh1, Cnmd, Matn1","Cartilage cell","chondrocyte","CL:0000138","stromal cell","Chondrocytes","chondrocyte","CL:0000138","stromal cell",1
"MCA_top10",NA,"Ctla2a, 4930486L24Rik, Prl8a2, Rarres2, Erv3, Mrgprg, Mt1, Srgn, Mt2, Gpx3","Decidual stromal cell","decidual cell","CL:2000002","stromal cell","Sebocytes","sebum secreting cell","CL:0000317","secretory cell",0
"MCA_top20",NA,"Mdk, Rbp1, Nrep, Cdk4, Tead2, Hmgn1, Selenoh, Marcksl1, Mif, H2afz, Stmn1, Srsf3, Tubb5, Npm1, Ptma, Slc25a4, Rps26, Nnat, Rpl39, Rps8","Proliferating Myocyte",NA,NA,"muscle cell","Neurons","neuron","CL:0000540","neuron",0
"MCA_top20",NA,"Mylk, Acta2, Myl9, Mdk, Cdkn1c, Ptn, Dlk1, Itm2a, Meg3, Mfap2, Nrep, Maged2, Tpm1, Nnat, Serpinh1, H19, Gnas, Cdk4, Hmgn1, Fstl1","Myocyte",NA,NA,"muscle cell","Smooth Muscle Cells","smooth muscle cell","CL:0000192","muscle cell",0.5
"MCA_top20",NA,"Ms4a4b, Trac, Ltb, Cd52, Trbc2, Cd3d, Cd8b1, Shisa5, Lck, Thy1, Dapl1, Cd3g, Trbc1, Ptprcap, Lat, Il2rg, Coro1a, Ms4a6b, H2-Q7, Rac2","T cell","T cell","CL:0000084","t/nk cell","T Cells","T cell","CL:0000084","t/nk cell",1
"MCA_top20",NA,"Rtn1, Nnat, Tubb3, Tubb2b, Tuba1a, Stmn2, Stmn3, Igfbpl1, Tagln3, Gap43, Hist3h2ba, Crmp1, Stmn1, Mllt11, Elavl3, Uchl1, Nsg2, Gng3, Nsg1, 6330403K07Rik","Neuron","neuron","CL:0000540","neuron","Neurons","neuron","CL:0000540","neuron",1
"MCA_top20",NA,"S100a6, Timp1, Cxcl5, Gm15772, Spp1, Lgals1, Gm28438, S100a4, Gm15459, Tm4sf1, Tpm2, U90926, Pcolce, Gm8730, Pkm, Aprt, Rhoc, Ccl7, Gm10039, Cdkn2a","MSC (Cultured)","mesenchymal stem cell","CL:0000134","stem cell","Fibroblasts","fibroblast","CL:0000057","fibroblast",0
"MCA_top20",NA,"Rps13-ps1, Rps3a3, Dppa5a, Gm10036, Gm11942, Tdgf1, Gm15459, Stmn2, Chchd10, Tdh, Utf1, Zfp42, Mkrn1, Ifitm1, Rps4l, Bex1, Gm24289, Eif4ebp1, Hsp90aa1, Upp1","mESC","embryonic stem cell","CL:0002322","stem cell","Embryonic Stem Cells","embryonic stem cell","CL:0002322","stem cell",1
"MCA_top20",NA,"Prm1, Prm2, Meig1, Ldhc, Tnp1, Fabp9, Tnp2, Smcp, Rbakdn, Ropn1l, Cox8c, Spink2, Dbil5, Cypt4, Gm5617, Spata33, Gm11837, Cox7b2, Gsg1, Fam229a","Testicular cell",NA,NA,"testis cell","Spermatids","spermatid","CL:0000018","germ cell",0
"MCA_top20",NA,"Rhox5, Bex1, Tex19.1, Gm15459, Bex3, Trap1a, Utf1, Gm11942, Gm15772, Cldn6, Cldn3, Hat1, Cldn4, Fabp3, Gm10039, Mrpl12, Rps4l, Timp1, Gsto1, Krt18","Trophoblast stem cell",NA,NA,"stem cell","Trophectodermal Cells","trophectodermal cell","CL:1000274","extraembryonic cell",0
"MCA_top20",NA,"Sbp, Spink1, 9530002B09Rik, Defb50, 5430419D17Rik, Wfdc3, Nupr1, Azgp1, Agr2, Tspan1, Cbr2, Spink5, Oit1, Abo, Hoxb13, Pigr, Prdx6, Pgap2, Nucb2, Cystm1","Prostate gland cell",NA,NA,"prostate cell","Paneth Cells","paneth cell","CL:0000510","epithelial cell",0
"MCA_top20",NA,"Matn1, Col2a1, Col9a2, Col9a3, Col9a1, Col11a1, Cnmd, 3110079O15Rik, Col11a2, Hapln1, Rcan1, Acan, Cytl1, Fmod, Hbegf, Ucma, Mgp, Timp1, Mia, Errfi1","Chondrocyte","chondrocyte","CL:0000138","stromal cell","Chondrocytes","chondrocyte","CL:0000138","stromal cell",1
"MCA_top20",NA,"Camp, Ngp, S100a9, S100a8, Chil3, Ltf, Wfdc21, Lcn2, Fcnb, Pglyrp1, I830127L07Rik, Ifitm6, Elane, Anxa1, Cd177, Serpinb1a, Hp, Cybb, Cebpe, Lyz2","Neutrophil","neutrophil","CL:0000775","granulocyte","Neutrophils","neutrophil","CL:0000775","granulocyte",1
"MCA_top20",NA,"Elane, Mpo, Ctsg, Prtn3, Ms4a3, Ly6c2, Plac8, Nkg7, Srgn, Cst7, Cmtm7, Clec12a, Prss57, Tuba4a, Serpinb1a, Ramp1, Fcnb, Lta4h, Slpi, Hp","Monocyte","monocyte","CL:0000576","macrophage/monocyte","Neutrophils","neutrophil","CL:0000775","granulocyte",0
"MCA_top20",NA,"Klf1, Blvrb, Hmbs, Glrx5, Alad, Rfesd, Car2, Hebp1, Asns, Smim1, Cited4, Rhd, Tmem14c, Cpox, Hmgb3, Ddx39, Icam4, Gpx1, Hspd1, C1qbp","Erythroblast","erythroblast","CL:0000765","erythroid cell","Erythrocytes","erythrocyte","CL:0000232","erythroid cell",0.5
"MCA_top20",NA,"Tff1, Gkn1, Gkn2, Gsta1, Psca, Lgals2, Dpcr1, 2210407C18Rik, Tff2, Gsto1, Gsdma2, Gsta4, Anxa10, Sptssb, Krt8, Mgst3, Ptgr1, Muc5ac, Ctse, Krt19","Stomach epithelial cell","epithelial cell of stomach","CL:0002178","epithelial cell","Stomach Lining Cells","epithelial cell of stomach","CL:0002178","epithelial cell",1
"MCA_top20",NA,"Fabp4, Cldn5, Ramp2, Egfl7, Cav1, Cd36, Esam, Gpihbp1, Ly6c1, Tm4sf1, Plvap, Emcn, Ctla2a, Gng11, Ecscr, Eng, Pecam1, Sdpr, Icam2, Adgrf5","Endothelial cell","endothelial cell","CL:0000115","endothelial cell","Endothelial Cells","endothelial cell","CL:0000115","endothelial cell",1
"MCA_top20",NA,"Wap, Csn1s2b, Csn1s2a, Csn1s1, Csn2, Csn3, Glycam1, Lalba, Wfdc18, Lao1, Fabp3, Trf, Cidea, Folr1, Thrsp, Qsox1, Cel, Wfdc3, Fkbp11, Olah","Secretory alveoli cell",NA,NA,"secretory cell","Mammary Gland Cells",NA,NA,"breast cell",0
"MCA_top20",NA,"Plp1, Ptgds, Mbp, Cldn11, Aplp1, Ermn, Mobp, Apod, Mag, Stmn4, Cmtm5, Tmem88b, Cnp, Olig1, Mog, Sez6l2, Tspan2, Hcn2, Fez1, Tubb4a","Oligodendrocyte","oligodendrocyte","CL:0000128","oligodendrocyte","Oligodendrocytes","oligodendrocyte","CL:0000128","oligodendrocyte",1
"MCA_top20",NA,"Fabp7, Pantr1, Nnat, Ptn, Pax6, Rtn1, Dbi, Tuba1a, H2afv, Tubb2b, Son, Stmn1, Hmgn2, Mt3, Ckb, Ccnd2, H2afz, Bex2, Pea15a, Marcksl1","Proliferative neuron",NA,NA,"neuron","Neural Progenitor Cells","neural progenitor cell","CL:0011020","progenitor cell",0
"MCA_top20",NA,"Dlk1, H19, Postn, Col1a2, Itm2a, Aspn, Fstl1, Mfap5, Col3a1, Igf2, Meg3, Col1a1, Cdkn1c, Sparc, Agtr2, Pcolce, Gnas, Dcn, Col6a2, Col6a1","Stromal cell","stromal cell","CL:0000499","stromal cell","Fibroblasts","fibroblast","CL:0000057","fibroblast",0.5
"MCA_top20",NA,"Cd79a, Ighm, Cd74, Cd79b, Iglc2, Iglc3, Ms4a1, Fcmr, Ighd, H2-Ab1, H2-Aa, Iglc1, Ly6d, H2-Eb1, Cd52, H2-DMb2, Cd37, Cd19, Ltb, Igkc","B cell","B cell","CL:0000236","b cell","B Cells","B cell","CL:0000236","b cell",1
"MCA_top20",NA,"Pf4, C1qc, C1qb, Apoe, Ctsc, C1qa, Fcer1g, F13a1, Csf1r, Tyrobp, Fcrls, Ms4a6c, Fcgr3, Lst1, Ctsb, Ctss, Tmsb4x, Lyz2, Dab2, Cfl1","Macrophage","macrophage","CL:0000235","macrophage/monocyte","Platelets","platelet","CL:0000233","platelet",0
"MCA_top20",NA,"Stra8, Dazl, Sycp3, Tex101, Tex12, Smc1b, Syce2, Fkbp6, Slc25a31, Tex30, 1700013H16Rik, Mphosph8, Dppa3, M1ap, Mael, Taf7l, 4930447C04Rik, Rhox9, Fmr1nb, Tuba3a","Primordial germ cell","primordial germ cell","CL:0000670","germ cell","Spermatocytes","spermatocyte","CL:0000017","germ cell",0.5
"MCA_top20",NA,"Reg3b, Reg3g, Fabp2, Fabp6, Lgals4, Lypd8, Apoa1, Tff3, Fabp1, Prap1, Pigr, Phgr1, Rbp2, Lgals2, Gpx2, Muc13, Guca2b, Smim24, Dmbt1, Cldn7","Intestinal epithelial cell","intestinal epithelial cell","CL:0002563","epithelial cell","Paneth cells","paneth cell","CL:0000510","epithelial cell",0.5
"MCA_top20",NA,"H2-Eb1, H2-Ab1, H2-Aa, Cd74, Cst3, Plbd1, H2-DMa, H2-DMb1, Gm2a, Psap, Tmsb4x, Crip1, Cd83, Cd52, Alox5ap, Naaa, Tyrobp, Lsp1, Ctss, B2m","Dendritic cell","dendritic cell","CL:0000451","dendritic cell","B Cells","B cell","CL:0000236","b cell",0.5
"MCA_top20",NA,"Car1, Car2, Fam132a, Blvrb, Klf1, Vamp5, Rhd, Aqp1, Gm15915, Atpif1, Cldn13, Lmo2, Sphk1, Tspo2, Ermap, Cox6b2, Ctse, Rpl35, Gata1, Dut","Erythroid progenitor","erythroid progenitor cell","CL:0000038","progenitor cell","Erythrocytes","erythrocyte","CL:0000232","erythroid cell",0
"MCA_top20",NA,"Sftpc, Sftpa1, Sftpb, Sftpd, Cxcl15, Slc34a2, Cbr2, Chil1, Scd1, Lyz1, Lyz2, Sfta2, Wfdc2, Napsa, Hc, Lamp3, Ager, Lpcat1, S100g, Elovl1","Alveolar type II cell","type II pneumocyte","CL:0002063","epithelial cell","Alveolar Type II Cells","type II pneumocyte","CL:0002063","epithelial cell",1
"MCA_top20",NA,"Kap, Miox, Aldob, Akr1c21, Fxyd2, Gsta2, Gpx3, Rida, Ass1, Keg1, Pck1, Slc34a1, Hao2, Glyat, Tmem27, Fbp1, Ttc36, Aadat, Sord, Pdzk1","Proximal tubule brush border cell","brush border cell of the proximal tubule","CL:0002307","epithelial cell","Proximal Tubular Cells","epithelial cell of proximal tubule","CL:0002306","epithelial cell",0.5
"MCA_top20",NA,"Prtn3, Cmtm7, H2afy, Mpo, Plac8, Ctsg, Emb, Gmfg, Ptprcap, AI662270, Coro1a, Ramp1, Glipr1, Stmn1, Srgn, Psmb8, Lmo2, Gpx1, Cdk6, Eif5a","Myeloid progenitor cell","myeloid lineage restricted progenitor cell","CL:0000839","progenitor cell","Neutrophils","neutrophil","CL:0000775","granulocyte",0
"MCA_top20",NA,"Inha, Akr1cl, Hsd3b1, Serpine2, Bex4, Nap1l5, Ctsl, Htra1, Tnni3, Hsd17b1, Tceal9, Cyb5a, Car14, Gja1, Socs2, Apoa4, Prkar2b, Inhba, Cnmd, Tenm4","Cumulus cell","cumulus cell","CL:0000711","epithelial cell","Ovarian Granulosa Cells","granulosa cell","CL:0000501","epithelial cell",0.5
"MCA_top20",NA,"Igfbp7, Mgp, Sparc, Tbx20, Postn, Slc16a2, Myl2, Sln, Myl3, Aspn, Dcn, Nppa, Myh6, Myh7, Dpep1, Lhfp, Eln, Pdlim3, Crip2, Col3a1","Myoblast","myoblast","CL:0000056","progenitor cell","Cardiac Muscle Cells","cardiac muscle cell","CL:0000746","muscle cell",0
"MCA_top20",NA,"Cfd, Car3, Fabp4, Adipoq, Cidea, Cidec, Cox8b, Chchd10, mt-Rnr1, Lpl, Apoc1, Pnpla2, Cdo1, Retn, Bnip3, Mgst1, Cat, Coq8a, Eci1, mt-Rnr2","Adipocyte","fat cell","CL:0000136","fat cell","Adipocytes","fat cell","CL:0000136","fat cell",1
"MCA_top20",NA,"Sprr1a, Gstm1, Krt15, Ly6d, Upk3a, Gsta4, Krt7, Wfdc2, Sprr2a3, Upk1a, Sptssb, Krt5, Igfbp2, Upk1b, Fmo5, Upk2, Ivl, Aqp3, S100a6, Gsdmc2","Urothelium","urothelial cell","CL:0000731","epithelial cell","Basal Cell of Epidermis","basal cell of epidermis","CL:0002187","epithelial cell",0.5
"MCA_top20",NA,"Wfdc2, Mdk, H19, Mif, Cldn6, Cdk4, Bex4, Hmgn1, Cldn7, Epcam, Rps26, Bex1, Tceal9, Nnat, Igfbp2, Ptma, Krt8, Ldha, Rpl14, Pcbd1","Epithelial cell","epithelial cell","CL:0000066","epithelial cell","Trophoblasts","trophoblast cell","CL:0000351","extraembryonic cell",0
"MCA_top20",NA,"Defb19, Cst9, Gstm2, Gstm6, Clu, Kctd14, Ptgds, Aldh1a1, Bex2, Gstm1, Tmem184a, Amh, Ctsl, Wnt6, Aard, Lgals7, Cited1, Gstm7, Serpine2, Etnk2","Sertoli cells","Sertoli cell","CL:0000216","epithelial cell","Preimplantation Embryo Cells",NA,NA,"embryonic cell",0
"MCA_top20",NA,"Hspa1b, Clec4g, Cxcl10, Selenop, Fcgr2b, Aqp1, Hspa1a, Eng, Il1a, Dnase1l3, Kdr, Cyp4b1, Oit3, Gpr182, Serpina3f, Stab2, Igfbp7, Apoe, B2m, H2-K1","Endothelial Cell","endothelial cell","CL:0000115","endothelial cell","Dendritic Cells","dendritic cell","CL:0000451","dendritic cell",0
"MCA_top20",NA,"Tpm1, Mdk, Tceal9, Tcf21, Dlk1, Tsc22d1, Maged2, Rpl13, Serpinh1, Meg3, Ubb, Akr1cl, Myl9, mt-Cytb, Cxcl12, Rps26, Nnat, Gstm2, Gnas, Nrep","Muscle cell","muscle cell","CL:0000187","muscle cell","Myoblast Cells","myoblast","CL:0000056","progenitor cell",0
"MCA_top20",NA,"Sct, Rhox9, Rhox6, Ldoc1, Sin3b, Fthl17a, Cdkn1c, Gm9112, Rhox5, 3830417A13Rik, Plac1, Serpinb9g, Serpinb9e, Tbrg1, Mbnl3, Trap1a, Hspb1, Dusp9, Nup62cl, Phlda2","Trophoblast progenitor cell",NA,NA,"progenitor cell","Testicular Sertoli Cells","Sertoli cell","CL:0000216","epithelial cell",0
"MCA_top20",NA,"Bglap, Bglap2, Ibsp, Col1a1, Col1a2, Car3, Serpinf1, Ifitm5, Sparc, Cgref1, Cthrc1, Col5a2, Nupr1, Fkbp7, Col11a1, Cpz, Col11a2, Kazald1, Serpinh1, Dcn","Osteoblast","osteoblast","CL:0000062","osteoblast","Osteoblasts","osteoblast","CL:0000062","osteoblast",1
"MCA_top20",NA,"Acta2, Myl9, Tpm2, Mustn1, Igfbp7, Tpm1, Myl6, Cald1, Eln, Tagln, Myh11, Crip1, Mylk, Rgs5, Cav1, Actg2, Sparcl1, Lmod1, Ndufa4l2, Sparc","Smooth muscle cell","smooth muscle cell","CL:0000192","muscle cell","Vascular Smooth Muscle Cells","vascular associated smooth muscle cell","CL:0000359","muscle cell",0.5
"MCA_top20",NA,"Hsd3b1, Cyp11a1, Fdx1, Akr1cl, Sfrp4, Ephx2, Mgarp, Idh1, Lhcgr, Scarb1, Gm2a, Me1, Nrn1, Fkbp5, Cst8, Sgk1, Prss35, Tmem86a, Cited4, Acsbg1","Luteal cell","luteal cell","CL:0000175","stromal cell","Adrenal Cortex Cells","adrenal cortex chromaffin cell","CL:1000427","epithelial cell",0
"MCA_top20",NA,"Klk1, Umod, Wfdc15b, Defb1, Fxyd2, Egf, Ppp1r1a, Atp1b1, Kng2, Atp1a1, Tmem52b, Tmem213, Cdh16, Kcnj1, mt-Nd4, mt-Cytb, mt-Nd2, mt-Co1, mt-Nd1, Gabarapl1","Renal tubular cell",NA,NA,"kidney cell","Kidney Collecting Duct Cells","kidney collecting duct cell","CL:1001225","kidney cell",0.5
"MCA_top20",NA,"Dppa3, Dazl, Utf1, Dppa5a, Fkbp6, Tex19.1, Dppa4, Cct8, Rps4l, Ifitm1, Dnd1, Gng13, Hspe1, Cct6a, Cox7c, Selenoh, Atp5g1, Tcl1, Rpl14, Chchd2","Premeiotic germ cell",NA,NA,"germ cell","Primordial Germ Cells","primordial germ cell","CL:0000670","germ cell",0.5
"MCA_top20",NA,"Gzma, Ccl5, Gzmb, Cd7, Rgs1, AW112010, Cd3g, Nkg7, Cd8a, Tcrg-C2, Gimap4, Ctsw, Cd160, Tcrg-C4, Trbc2, Lck, H2-Q7, Tcrg-C1, Gimap7, Cd3d","NK/T cell","natural killer cell,T cell","CL:0000623,CL:0000084","t/nk cell","Cytotoxic T cells","cytotoxic T cell","CL:0000910","t/nk cell",0.5
"MCA_top20",NA,"Kctd14, Lgals7, Gng13, Bmyc, Ifitm1, Gstm2, Laptm4b, Amhr2, Wnt6, Ldhb, H19, Cst8, Isyna1, Fst, Cdkn1c, Tsc22d1, Anxa2, Hes1, Irx3, Aldh1a1","Granulosa cell","granulosa cell","CL:0000501","epithelial cell","Gastric mucous cells","mucous cell of stomach","CL:0002180","epithelial cell",0.5
"MCA_top20",NA,"Ccl5, Nkg7, AW112010, Klrd1, Gzma, Ms4a4b, Il2rb, Klrb1c, Klre1, Klra4, Ncr1, Klra8, Klrk1, Ctsw, Cd52, Klra13-ps, Xcl1, H2-D1, Klra7, B2m","NK cell","natural killer cell","CL:0000623","t/nk cell","Natural Killer Cells","natural killer cell","CL:0000623","t/nk cell",1
"MCA_top20",NA,"Nppa, Actc1, Tnnt2, Myl3, Myl2, Cox6a2, Pln, Tnnc1, Tnni3, Tnni1, Myh6, Myh7, Slc25a4, Csrp3, Tpm1, Fabp3, Ckm, Mb, Smpx, Cox8b","Cardiac muscle cell","cardiac muscle cell","CL:0000746","muscle cell","Cardiomyocytes","cardiac muscle cell","CL:0000746","muscle cell",1
"MCA_top20",NA,"Hexb, C1qc, P2ry12, C1qa, Cst3, Fcrls, C1qb, Ctss, Cx3cr1, Lgmn, Siglech, Csf1r, Trem2, Ctsd, Crybb1, Gpr34, Tyrobp, P2ry13, Fcer1g, Ctsb","Microglia","microglial cell","CL:0000129","microglia","Microglia","microglial cell","CL:0000129","microglia",1
"MCA_top20",NA,"Pgc, Pla2g1b, Fxyd3, mt-Co1, Cfi, Anxa10, Tspan1, Tff2, Atp4b, Cystm1, Agr2, Atp4a, 1810010D01Rik, Pga5, Sult1c2, Vsig1, Cldn18, Ttr, Smim6, Cd24a","Gastric mucosa cell","surface mucosal cell of stomach","CL:0002182","epithelial cell","Gastric chief cells","peptic cell","CL:0000155","epithelial cell",0.5
"MCA_top20",NA,"Cpa2, Cpa1, Ctrb1, Pnliprp1, Clps, Serpina6, Ambp, Ttr, Dlk1, Cela1, Gamt, Serpina1c, Tmed6, Wfdc15b, Gc, Bex1, Pcbd1, Cldn10, H19, Bex2","Pancreatic acinar cell","pancreatic acinar cell","CL:0002064","epithelial cell","Acinar cells of the pancreas","pancreatic acinar cell","CL:0002064","epithelial cell",1
"MCA_top20",NA,"Cyp17a1, Hsd3b1, Cyp11a1, Akr1cl, Aldh1a1, Fdx1, Acsbg1, Star, Mgarp, Me1, Ren1, Insl3, Prss35, Fdxr, Hao2, Nr5a1, Inha, Cst8, Tsc22d1, Tmem86a","Leydig cell","Leydig cell","CL:0000178","interstitial cell","Leydig cells","Leydig cell","CL:0000178","interstitial cell",1
"MCA_top20",NA,"Calb1, Rprm, Wfdc2, Wfdc15b, Cldn6, Mdk, Hoxb7, Cldn7, Ldhb, Ptma, Bex1, Mif, Hmgn1, Rps26, mt-Cytb, Bex2, Epcam, 1700011H14Rik, Rpl41, Id3","Kidney epithelial","kidney epithelial cell","CL:0002518","epithelial cell","Trophoblasts","trophoblast cell","CL:0000351","extraembryonic cell",0
"MCA_top20",NA,"Chga, Pcsk2, Chgb, Pyy, Pcsk1n, Iapp, Resp18, Ins2, Gcg, Scg2, Cpe, Ttr, Ins1, Scg5, Tmem27, Slc38a5, Ppy, Fam183b, Slc30a8, Mrln","Endocrine cell","endocrine cell","CL:0000163","secretory cell","Pancreatic Islet cells",NA,NA,"pancreatic cell",0
"MCA_top20",NA,"Prss34, Mcpt8, Prg2, Cpa3, Fcer1a, Ms4a2, Srgn, Cd200r3, Ifitm1, Gata2, Rnase12, Alox5ap, Hdc, Plac8, Ccl3, Ctsg, Mpo, Cd63, Cst7, Il6","Mast cell","mast cell","CL:0000097","granulocyte","Mast cells","mast cell","CL:0000097","granulocyte",1
"MCA_top20",NA,"Pga5, Col4a2, Col4a1, Lama1, Ctsl, Aqp8, Gkn2, Serpinh1, Txndc12, Lrpap1, Sparc, P4hb, Plod3, Pdpn, Gkn1, Glipr1, Igsf1, P4ha2, Tinagl1, Wfdc1","Placenta endodermal cell",NA,NA,"embryonic cell","Parotid gland acinar cells","acinar cell of salivary gland","CL:0002623","epithelial cell",0
"MCA_top20",NA,"Tpbpa, Tpbpb, Prl3b1, Prl2b1, Ceacam11, Prl8a9, Ceacam14, Psg21, Prl8a8, Ceacam12, Creg1, Prl7a2, Psg27, Psg23, Psg18, Psg28, Ceacam13, 1600012P17Rik, Cts3, Psg16","Spongiotrophoblast","spongiotrophoblast cell","CL:0002499","extraembryonic cell","Sialomucin-secreting cells of the uterus",NA,NA,"secretory cell",0
"MCA_top20",NA,"Dynlrb2, Scgb1a1, Cyp2f2, Scgb3a2, Riiad1, Ccdc153, Tmem212, Mt3, Lrrc23, Fam183b, Foxj1, Meig1, Cbr2, Cfap126, Odf3b, 4933434E20Rik, Dbi, Pifo, 1110017D15Rik, 2410004P03Rik","Clara Cell","club cell","CL:0000158","epithelial cell","Tracheal cells",NA,NA,"tracheal cell",0
"MCA_top20",NA,"Atp6v1g3, Tmem213, Atp6v1a, mt-Nd5, Spink8, Car12, Atp6v1b1, Rhcg, Atp6v0d2, Clcnkb, Ldhb, Atp6v1c2, mt-Nd2, Aqp6, mt-Nd1, mt-Nd4, mt-Co1, mt-Cytb, Atp1b1, Aldh1l1","Intercalated cells of collecting duct","kidney collecting duct intercalated cell","CL:1001432","epithelial cell","Intercalated Cells","renal intercalated cell","CL:0005010","epithelial cell",0.5
"MCA_top20",NA,"Sprr2f, Fam213a, Padi1, Fxyd4, Tmem213, Ltf, Spink12, Lcn2, Clca1, Wfdc2, 4833423E24Rik, Krt7, Sftpd, Cldn7, Fxyd3, Cbr2, Anpep, Serpina1e, Sprr2g, Krt19","Principal cells of cortical collecting duct","kidney cortex collecting duct principal cell","CL:1000714","epithelial cell","Rectal glandular cells","rectum glandular cell","CL:1001595","epithelial cell",0.5
"MCA_top20",NA,"Cd9, Ear2, Chil3, Ccl6, Ear1, Atp6v0d2, Krt79, Ctss, Ctsd, Lgals3, Plet1, Car4, Tmsb4x, Clec4n, Ltc4s, Wfdc21, Lyz2, Cd44, Abcg1, Fabp1","Eosinophil","eosinophil","CL:0000771","granulocyte","Paneth cells","paneth cell","CL:0000510","epithelial cell",0
"MCA_top20",NA,"Ttr, 1500015O10Rik, Sostdc1, Kcnj13, Defb11, Kcne2, Igfbp2, Trpm3, Slc6a15, Folr1, Vat1l, Cfap126, Calml4, Dynlrb2, Fxyd1, Ptgds, Mt3, 1110017D15Rik, Bsg, Enpp2","Schwann cell","Schwann cell","CL:0002573","glial cell","Retinal Pigment Epithelial cells","retinal pigment epithelial cell","CL:0002586","epithelial cell",0
"MCA_top20",NA,"Atp1a2, Aldoc, Gpr37l1, Atp1b2, Ntsr2, Slc1a3, Slc1a2, Sparcl1, Ndrg2, Pla2g7, Bcan, Slc7a10, Mt3, Ttyh1, Htra1, Gjb6, Plpp3, Tspan7, Gpm6a, S1pr1","Astrocyte","astrocyte","CL:0000127","astrocyte","Astrocytes","astrocyte","CL:0000127","astrocyte",1
"MCA_top20",NA,"Serpina1c, Apoc3, Apoc1, Bhmt, Akr1c6, Apoa2, Serpina1b, Serpina1a, Gsta3, Mat1a, Fabp1, Uox, Gnmt, Hpd, Serpina1d, Sult2a8, Mup3, Alb, Rgn, Serpina3k","Hepatocyte","hepatocyte","CL:0000182","epithelial cell","Hepatocytes","hepatocyte","CL:0000182","epithelial cell",1
