originalname,Clname,CLID,type
smooth muscle cell / fibroblasts,"smooth muscle cell,fibroblast","CL:0000192,CL:0000057","muscle cell,fibroblast"
stellate cell / myeloid cells,"NA,myeloid cell","NA,CL:0000763","fibroblast,myeloid cell"
stromal cell / fibroblasts,"stromal cell,fibroblast","CL:0000499,CL:0000057","stromal cell,fibroblast"
synapses,NA,NA,brain cell
t cell / macrophages,"T cell,macrophage","CL:0000084,CL:0000235","t/nk cell,macrophage/monocyte"
t cell or b cells,"T cell,B cell","CL:0000084,CL:0000236","t/nk cell,b cell"
"t cell, cytotoxic t cells","T cell,cytotoxic T cell","CL:0000084,CL:0000910",t/nk cell
t helper(th) cell,helper T cell,CL:0000912,t/nk cell
tissue-resident macrophages,tissue-resident macrophage,CL:0000864,macrophage/monocyte
tregs / regulatory t cell,regulatory T cell,CL:0000815,t/nk cell
tuft cell,NA,NA,epithelial cell
unclear,NA,NA,NA
undefined/unidentified,NA,NA,NA
unknown / novel cell type,NA,NA,NA
various,NA,NA,NA
a1 astrocyte,NA,NA,astrocyte
a2 astrocyte,NA,NA,astrocyte
acinar,acinar cell,CL:0000622,epithelial cell
acinar cell,acinar cell,CL:0000622,epithelial cell
activated b cell,NA,NA,b cell
activated cd25+ regulatory t cell,NA,NA,t/nk cell
activated cd4+ t cell,"activated CD4-positive, alpha-beta T cell",CL:0000896,t/nk cell
activated hepatic stellate cell,NA,NA,fibroblast
activated naive b,NA,NA,b cell
activated nk cell,NA,NA,t/nk cell
activated stellate,NA,NA,fibroblast
activated t cell,NA,NA,t/nk cell
activative cytotoxic t cell,NA,NA,t/nk cell
adenocarcinoma stem-like cell,NA,NA,stem cell
adipocyte or fat cell,fat cell,CL:0000136,fat cell
adipogenic cell,fibro/adipogenic progenitor cell,CL:0009099,progenitor cell
adipose progenitor cell,fibro/adipogenic progenitor cell,CL:0009099,progenitor cell
adrenal medulla cell,adrenal medulla chromaffin cell,CL:0000336,epithelial cell
adrenergic neuron,adrenergic neuron,CL:0000109,neuron
adult neural stem cell,neural stem cell,CL:0000047,stem cell
adventitial cell,adventitial cell,CL:0002503,adventitial cell
aerocyte,NA,NA,epithelial cell
afp_alb positive cell,NA,NA,NA
aire-enriched cell,NA,NA,NA
airway basal cell,respiratory basal cell,CL:0002633,epithelial cell
airway goblet cell,NA,NA,epithelial cell
airway secretory cell,NA,NA,secretory cell
alpha cell,pancreatic A cell,CL:0000171,epithelial cell
alpha cell (glucagon-producing cells),pancreatic A cell,CL:0000171,epithelial cell
alpha cell (α cell),pancreatic A cell,CL:0000171,epithelial cell
alpha islet cell,pancreatic A cell,CL:0000171,epithelial cell
alveolar cell type 2,type II pneumocyte,CL:0002063,epithelial cell
alveolar epithelial cell,NA,NA,epithelial cell
alveolar epithelial progenitor cell,NA,NA,epithelial cell
alveolar epithelial type 1,type I pneumocyte,CL:0002062,epithelial cell
alveolar epithelial type 2,type II pneumocyte,CL:0002063,epithelial cell
alveolar macrophage,alveolar macrophage,CL:0000583,macrophage/monocyte
alveolar macrophages,alveolar macrophage,CL:0000583,macrophage/monocyte
alveolar pneumocyte type ii,type II pneumocyte,CL:0002063,epithelial cell
alveolar type 1 cell,type I pneumocyte,CL:0002062,epithelial cell
alveolar type 1 cell (at1),type I pneumocyte,CL:0002062,epithelial cell
alveolar type 2 cell,type II pneumocyte,CL:0002063,epithelial cell
alveolar type 2 cell (at2),type II pneumocyte,CL:0002063,epithelial cell
alveolar type 2-like cell,type II pneumocyte,CL:0002063,epithelial cell
alveolar type i,type I pneumocyte,CL:0002062,epithelial cell
alveolar type i cell,type I pneumocyte,CL:0002062,epithelial cell
alveolar type i cell (ati),type I pneumocyte,CL:0002062,epithelial cell
alveolar type ii,type II pneumocyte,CL:0002063,epithelial cell
alveolar type ii cell (atii),type II pneumocyte,CL:0002063,epithelial cell
alveolar type ii pneumocytes,type II pneumocyte,CL:0002063,epithelial cell
amacrine cell,amacrine cell,CL:0000561,neuron
anterior segment cell,NA,NA,eye cell
anti-tumor immune cell,NA,NA,immune cell
"antigen-presenting cell (e.g., dendritic cells, macrophages)",professional antigen presenting cell,CL:0000145,antigen presenting cell
antigen-presenting cell or immune cell,professional antigen presenting cell,CL:0000145,antigen presenting cell
antigen-presenting cell or macrophages,"professional antigen presenting cell,macrophage","CL:0000145,CL:0000235","antigen presenting cell,macrophage/monocyte"
arterial endothelial,endothelial cell of artery,CL:1000413,endothelial cell
artery,NA,NA,blood vessel cell
ascending thin limb,kidney loop of Henle thin ascending limb epithelial cell,CL:1001107,epithelial cell
astrocytes or oligodendrocytes,"astrocyte,oligodendrocyte","CL:0000127,CL:0000128","astrocyte,oligodendrocyte"
at1,type I pneumocyte,CL:0002062,epithelial cell
at2,type II pneumocyte,CL:0002063,epithelial cell
atrial cardiomyocyte,regular atrial cardiac myocyte,CL:0002129,muscle cell
atrial cardiomyocytes,regular atrial cardiac myocyte,CL:0002129,muscle cell
atrial cell,NA,NA,heart cell
autonomic nervous system cell,autonomic neuron,CL:0000107,neuron
axl+ dendritic cell,NA,NA,dendritic cell
axonal cell,NA,NA,neuron
b,B cell,CL:0000236,b cell
b cell (memory),memory B cell,CL:0000787,b cell
b cell (plasma cell),plasma cell,CL:0000786,b cell
b cell (plasma cells),plasma cell,CL:0000786,b cell
b cell (specifically those producing immunoglobulins),B cell,CL:0000236,b cell
b cell lineage,B cell,CL:0000236,b cell
b cell_memory,memory B cell,CL:0000787,b cell
b cell/plasma cells,plasma cell,CL:0000786,b cell
b progenitor cell,NA,NA,progenitor cell
b_cell,B cell,CL:0000236,b cell
barrett’s esophagus cell,NA,NA,esophagus cell
basal,basal cell,CL:0000646,stem cell
basal cell (airway progenitor cells),respiratory basal cell,CL:0002633,epithelial cell
basal epithelia,basal cell,CL:0000646,stem cell
basal gland mucous cell,NA,NA,epithelial cell
basal keratinocyte,basal cell of epidermis,CL:0002187,epithelial cell
basal keratinocytes,basal cell of epidermis,CL:0002187,epithelial cell
basal-like cell,basal cell,CL:0000646,stem cell
basophil eosinophil mast progenitor,basophil mast progenitor cell,CL:0002028,progenitor cell
basophil/mast,"basophil,mast cell","CL:0000767,CL:0000097",granulocyte
beige adipogenic precursor cell,NA,NA,progenitor cell
beta cell,type B pancreatic cell,CL:0000169,epithelial cell
beta cell (insulin-producing cells),type B pancreatic cell,CL:0000169,epithelial cell
beta islet cell,type B pancreatic cell,CL:0000169,epithelial cell
biliary cell,NA,NA,biliary cell
bipolar cell,NA,NA,neuron
blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,endothelial cell
blood-related cell,blood cell,CL:0000081,blood cell
bronchial cell,NA,NA,bronchial cell
bronchial epithelial cell,bronchial epithelial cell,CL:0002328,epithelial cell
bronchial vessel,NA,NA,bronchial cell
bronchiolar and alveolar epithelial cell,NA,NA,epithelial cell
brown adipocyte,beige adipocyte,CL:0001070,fat cell
cajal-retzius cell,Cajal-Retzius cell,CL:0000695,neuron
cancer cell,malignant cell,CL:0001064,malignant cell
cancer stem cell,NA,NA,malignant cell
cap mesenchyme cell (mesenchymal cells),mesenchymal cell,CL:0008019,mesenchymal cell
capillary,NA,NA,blood vessel cell
capillary aerocyte,NA,NA,epithelial cell
capillary cell,NA,NA,blood vessel cell
capillary endothelial,NA,NA,endothelial cell
capillary intermediate,NA,NA,blood vessel cell
car-t cell,NA,NA,t/nk cell
cardiac fibroblast,fibroblast of cardiac tissue,CL:0002548,fibroblast
cardiac fibroblasts,fibroblast of cardiac tissue,CL:0002548,fibroblast
cardiac muscle cell (cardiomyocytes),cardiac muscle cell,CL:0000746,muscle cell
cardiomyocyte,cardiac muscle cell,CL:0000746,muscle cell
cardiomyocytes (not specific to kidney),cardiac muscle cell,CL:0000746,muscle cell
cardiovascular progenitor cell,NA,NA,progenitor cell
cartilage cell or chondrocyte,chondrocyte,CL:0000138,stromal cell
cd14 monocyte,CD14-positive monocyte,CL:0001054,macrophage/monocyte
cd14+ monocyte,CD14-positive monocyte,CL:0001054,macrophage/monocyte
cd16 monocyte,NA,NA,macrophage/monocyte
cd16+ monocyte,NA,NA,macrophage/monocyte
cd34+ common lymphoid progenitor cell,common lymphoid progenitor,CL:0000051,progenitor cell
cd34+ granulocytic progenitor cell,granulocyte monocyte progenitor cell,CL:0000557,progenitor cell
cd34+ lympho-myeloid progenitor cell,"CD34-positive, CD38-positive common myeloid progenitor OR CD34-positive, CD38-positive common lymphoid progenitor",CL:0000995,progenitor cell
cd34+ megakaryocyte-erythroid progenitor cell,megakaryocyte-erythroid progenitor cell,CL:0000050,progenitor cell
cd4 effector,"effector CD4-positive, alpha-beta T cell",CL:0001044,t/nk cell
cd4 memory,"CD4-positive, alpha-beta memory T cell",CL:0000897,t/nk cell
cd4 naive,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,t/nk cell
cd4 t,"CD4-positive, alpha-beta T cell",CL:0000624,t/nk cell
cd4+ central memory t,"central memory CD4-positive, alpha-beta T cell",CL:0000904,t/nk cell
cd4+ cytotoxic t,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,t/nk cell
cd4+ cytotoxic t cell,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,t/nk cell
cd4+ effector memory t,"effector memory CD4-positive, alpha-beta T cell",CL:0000905,t/nk cell
cd4+ naive t,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,t/nk cell
cd4+ proliferating t,NA,NA,t/nk cell
cd45+ immune cell,NA,NA,immune cell
cd56-bright natural killer,"CD16-negative, CD56-bright natural killer cell, human",CL:0000938,t/nk cell
cd56-dim natural killer,"CD16-positive, CD56-dim natural killer cell, human",CL:0000939,t/nk cell
cd8 effector 1,"effector CD8-positive, alpha-beta T cell",CL:0001050,t/nk cell
cd8 effector 2,"effector CD8-positive, alpha-beta T cell",CL:0001050,t/nk cell
cd8 effector 3,"effector CD8-positive, alpha-beta T cell",CL:0001050,t/nk cell
cd8 memory,"CD8-positive, alpha-beta memory T cell",CL:0000909,t/nk cell
cd8 naive,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,t/nk cell
cd8 t,"CD8-positive, alpha-beta T cell",CL:0000625,t/nk cell
cd8+ central memory t,"central memory CD8-positive, alpha-beta T cell",CL:0000907,t/nk cell
cd8+ effector memory t,"effector memory CD8-positive, alpha-beta T cell",CL:0000913,t/nk cell
cd8+ naive t,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,t/nk cell
cd8+ nkt-like cell,NA,NA,t/nk cell
cd8+ proliferating t,NA,NA,t/nk cell
cell cycle cell,NA,NA,NA
central memory cd4+ t cell,"central memory CD4-positive, alpha-beta T cell",CL:0000904,t/nk cell
central memory cd8+ t cell,"central memory CD8-positive, alpha-beta T cell",CL:0000907,t/nk cell
central memory t cell precursor,NA,NA,progenitor cell
chief cell,NA,NA,epithelial cell
cholangiocyte,cholangiocyte,CL:1000488,epithelial cell
cholangiocytes,cholangiocyte,CL:1000488,epithelial cell
chondro progenitor cell,NA,NA,progenitor cell
choroid plexus cell,NA,NA,blood vessel cell
chromaffin cell,chromaffin cell,CL:0000166,epithelial cell
"chromaffin cell (e.g., in adrenal medulla)",chromaffin cell,CL:0000166,epithelial cell
ciliated,ciliated cell,CL:0000064,ciliated cell
ciliated airway epithelial cell,NA,NA,epithelial cell
ciliated epithelial,ciliated epithelial cell,CL:0000067,epithelial cell
ciliated epithelial cell,ciliated epithelial cell,CL:0000067,epithelial cell
ciliated respiratory epithelial cell,NA,NA,epithelial cell
circulating immune cell,NA,NA,immune cell
classical monocytes,classical monocyte,CL:0000860,macrophage/monocyte
classical monocytes (cd14++ cd16-),classical monocyte,CL:0000860,macrophage/monocyte
club,club cell,CL:0000158,epithelial cell
club cell (clara cells),club cell,CL:0000158,epithelial cell
club cell (formerly known as clara cells),club cell,CL:0000158,epithelial cell
club cell (previously known as clara cells),club cell,CL:0000158,epithelial cell
club epithelial,club cell,CL:0000158,epithelial cell
cmp,common myeloid progenitor,CL:0000049,progenitor cell
cmp cell,common myeloid progenitor,CL:0000049,progenitor cell
collagen-rich fibroblasts,NA,NA,fibroblast
collecting duct cell,kidney collecting duct cell,CL:1001225,kidney cell
collecting ductal cell,kidney collecting duct cell,CL:1001225,kidney cell
coloncyte,colon epithelial cell,CL:0011108,epithelial cell
columnar epithelial cell,columnar/cuboidal epithelial cell,CL:0000075,epithelial cell
committed erythroid progenitor cell,erythroid progenitor cell,CL:0000038,progenitor cell
common lymphoid progenitor,common lymphoid progenitor,CL:0000051,progenitor cell
cone bipolar cell,cone retinal bipolar cell,CL:0000752,neuron
cone photoreceptor cell,retinal cone cell,CL:0000573,neuron
conjunctival cell,NA,NA,eye cell
connecting tubule,NA,NA,kidney cell
conventional dendritic cell,conventional dendritic cell,CL:0000990,dendritic cell
conventional dendritic cell (cdcs),conventional dendritic cell,CL:0000990,dendritic cell
conventional dendritic cell 1,conventional dendritic cell,CL:0000990,dendritic cell
conventional dendritic cell 1(cdc1),conventional dendritic cell,CL:0000990,dendritic cell
conventional dendritic cell 2,conventional dendritic cell,CL:0000990,dendritic cell
conventional dendritic cell 2(cdc2),conventional dendritic cell,CL:0000990,dendritic cell
conventional dendritic cell type 1 (cdc1s),conventional dendritic cell,CL:0000990,dendritic cell
conventional dendritic cell type 2 (cdc2s),conventional dendritic cell,CL:0000990,dendritic cell
conventional dendritic cell(cdc),conventional dendritic cell,CL:0000990,dendritic cell
corneal and conjunctival epithelial cell,NA,NA,epithelial cell
corneal endothelial cell,corneal endothelial cell,CL:0000132,endothelial cell
cortical neurons,NA,NA,neuron
csh1_csh2 positive cell,NA,NA,NA
cuboidal epithelial cell,columnar/cuboidal epithelial cell,CL:0000075,epithelial cell
cycling,NA,NA,NA
cycling b,NA,NA,b cell
cycling follicular dendritic,NA,NA,dendritic cell
cycling myeloid,NA,NA,myeloid cell
cycling t,NA,NA,t/nk cell
cytotoxic cd4+ t cell,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,t/nk cell
cytotoxic cd4+ t2 cell,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,t/nk cell
cytotoxic cd8+ t cell,"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,t/nk cell
cytotoxic double-positive t cell,NA,NA,t/nk cell
cytotoxic natural killer cell,natural killer cell,CL:0000623,t/nk cell
cytotoxic t cell (cd8+),"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,t/nk cell
cytotoxic t cell or natural killer (nk) cells,"cytotoxic T cell,natural killer cell","CL:0000910,CL:0000623",t/nk cell
cytotoxic t lymphocytes (cd8+ t cell),"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,t/nk cell
cytotoxic t lymphocytes (ctls) or natural killer (nk) cell,"cytotoxic T cell,natural killer cell","CL:0000910,CL:0000623",t/nk cell
d1-msn(medium spiny neuron),direct pathway medium spiny neuron,CL:4023026,neuron
dc,dendritic cell,CL:0000451,dendritic cell
dc1,dendritic cell,CL:0000451,dendritic cell
dc2,dendritic cell,CL:0000451,dendritic cell
deep layer neuron,NA,NA,neuron
delta cell,pancreatic D cell,CL:0000173,epithelial cell
delta cell (somatostatin-producing cells),pancreatic D cell,CL:0000173,epithelial cell
delta islet cell,pancreatic D cell,CL:0000173,epithelial cell
dendritic,dendritic cell,CL:0000451,dendritic cell
dendritic cell or immune cell,"dendritic cell,NA","CL:0000451,NA",dendritic cell
dermal papilla cell,hair follicle dermal papilla cell,CL:0000346,stem cell
descending thin limb,kidney loop of Henle short descending thin limb epithelial cell,CL:4030012,epithelial cell
developmental transcription factors,NA,NA,NA
differentiated alveolar cell,NA,NA,epithelial cell
differentiated keratinocyte,keratinocyte,CL:0000312,epithelial cell
differentiated keratinocytes (suprabasal layer),keratinocyte,CL:0000312,epithelial cell
differentiating mesenchymal stem cell,NA,NA,stem cell
distal convoluted tubular cell,kidney distal convoluted tubule epithelial cell,CL:1000849,epithelial cell
distal convoluted tubule,kidney distal convoluted tubule epithelial cell,CL:1000849,epithelial cell
distal tubular cell,kidney distal convoluted tubule epithelial cell,CL:1000849,epithelial cell
distal tubule cell,kidney distal convoluted tubule epithelial cell,CL:1000849,epithelial cell
distal tubule cell (kidney),kidney distal convoluted tubule epithelial cell,CL:1000849,epithelial cell
dividing cardiomyocyte,NA,NA,muscle cell
dividing cell,NA,NA,NA
dividing plasma b cell,NA,NA,b cell
double negative t,double negative thymocyte,CL:0002489,t/nk cell
double-negative t,double negative thymocyte,CL:0002489,t/nk cell
ductal,pancreatic ductal cell,CL:0002079,epithelial cell
ductal cell,pancreatic ductal cell,CL:0002079,epithelial cell
duodenal epithelial cell,NA,NA,epithelial cell
early endothelial cell,NA,NA,endothelial cell
early erythroid,NA,NA,erythroid cell
early erythroid cell,NA,NA,erythroid cell
early erythroid progenitor cell,NA,NA,erythroid cell
early germ cell,NA,NA,germ cell
early thymic precursors,NA,NA,progenitor cell
early-erythroblast,NA,NA,erythroid cell
ec arterial,endothelial cell of artery,CL:1000413,endothelial cell
ec capillary,capillary endothelial cell,CL:0002144,endothelial cell
ec venous,vein endothelial cell,CL:0002543,endothelial cell
effector cd8+ t cell,"effector CD8-positive, alpha-beta T cell",CL:0001050,t/nk cell
effector memory cd4+ t cell,"effector memory CD4-positive, alpha-beta T cell",CL:0000905,t/nk cell
effector memory cd8 t cell,"effector memory CD8-positive, alpha-beta T cell",CL:0000913,t/nk cell
effector memory cd8+ t cell,"effector memory CD8-positive, alpha-beta T cell",CL:0000913,t/nk cell
effector memory t cell,NA,NA,t/nk cell
effector t cell,effector T cell,CL:0000911,t/nk cell
effector th2-like cell,NA,NA,t/nk cell
embryonic myocardial cell,NA,NA,muscle cell
embryonic_stem_cell,embryonic stem cell,CL:0002322,stem cell
emt cancer stem cell,NA,NA,malignant cell
endocardial,endocardial cell,CL:0002350,endothelial cell
endocardial cell,endocardial cell,CL:0002350,endothelial cell
endometrial,NA,NA,uterus cell
endothelial,endothelial cell,CL:0000115,endothelial cell
endothelial progenitor cell,adult endothelial progenitor cell,CL:0002619,progenitor cell
endothelial_cell,endothelial cell,CL:0000115,endothelial cell
ens glia,NA,NA,glial cell
ens neurons,enteric neuron,CL:0007011,neuron
enteric endocrine cell,NA,NA,secretory cell
enterochromaffin cell,enterochromaffin-like cell,CL:0000504,epithelial cell
enterochromaffin cell (gut),enterochromaffin-like cell,CL:0000504,epithelial cell
eosinophils,eosinophil,CL:0000771,granulocyte
ependymal cell,ependymal cell,CL:0000065,epithelial cell
epiblast cell,epiblast cell,CL:0000352,stem cell
epicardial fat cell,epicardial adipocyte,CL:1000309,fat cell
epidermal posterior cell,NA,NA,epithelial cell
epithelial,epithelial cell,CL:0000066,epithelial cell
epithelial cell (colon cancer cells),NA,NA,malignant cell
epithelial cell (goblet cells),goblet cell,CL:0000160,epithelial cell
epithelial cell (lung cancer cells),NA,NA,malignant cell
epithelial cell (not specific to kidney),epithelial cell,CL:0000066,epithelial cell
epithelial cell (skin keratinocyte),keratinocyte,CL:0000312,epithelial cell
epithelial cell or fibroblast,"epithelial cell,fibroblast","CL:0000066,CL:0000057","epithelial cell,fibroblast"
"epithelial cell, particularly in the kidney",kidney epithelial cell,CL:0002518,epithelial cell
epithelial progenitor cell,NA,NA,progenitor cell
epithelial_cell,epithelial cell,CL:0000066,epithelial cell
epithelial-mesenchymal cell,mesenchymal cell,CL:0008019,mesenchymal cell
epsilon cell,pancreatic epsilon cell,CL:0005019,secretory cell
epsilon islet cell,pancreatic epsilon cell,CL:0005019,secretory cell
erythrocyte,erythrocyte,CL:0000232,erythroid cell
erythrocyte progenitor cell or erythroblasts,"erythroid progenitor cell,erythroblast","CL:0000038,CL:0000765","progenitor cell,erythroid cell"
erythroid megakaryocyte progenitor,megakaryocyte-erythroid progenitor cell,CL:0000050,progenitor cell
erythroid-like and erythroid precursor cell,"erythroid lineage cell,erythroid progenitor cell","CL:0000764,CL:0000038","erythroid cell,progenitor cell"
esophageal epithelial cell,NA,NA,epithelial cell
exausted t(tex) cell,exhausted T cell,CL:0011025,t/nk cell
excitatory neuron,NA,NA,neuron
excitatory neurons,NA,NA,neuron
excitatory neurons (specifically pyramidal neurons),pyramidal neuron,CL:0000598,neuron
exocrine acinar cell,NA,NA,epithelial cell
extra-embryonic cell,extraembryonic cell,CL:0000349,extraembryonic cell
extracellular matrix cell,extracellular matrix secreting cell,CL:0000327,stromal cell
extracellular matrix-related genes,extracellular matrix secreting cell,CL:0000327,stromal cell
extraembryonic cell,extraembryonic cell,CL:0000349,extraembryonic cell
extravillous trophoblast cell,extravillous trophoblast,CL:0008036,extraembryonic cell
extravillous trophoblasts,extravillous trophoblast,CL:0008036,extraembryonic cell
fast-twitch muscle fibers,fast muscle cell,CL:0000190,muscle cell
fat cell,fat cell,CL:0000136,fat cell
fcna+ resident macrophage,NA,NA,macrophage/monocyte
fetal hepatocyte,NA,NA,epithelial cell
fetal liver cell,NA,NA,liver cell
fgfr1highnme5- epithelial cell,NA,NA,epithelial cell
fibroblast (papillary dermis),fibroblast of papillary layer of dermis,CL:1000302,fibroblast
fibroblast or connective tissue cell,"fibroblast,connective tissue cell","CL:0000057,CL:0002320",fibroblast
fibroblast-like cell,fibroblast,CL:0000057,fibroblast
fibroblastic reticular cell,fibroblastic reticular cell,CL:0009101,fibroblast
fibroblasts or stromal cell,"fibroblast,stromal cell","CL:0000057,CL:0000499","fibroblast,stromal cell"
fibrochondrocyte,NA,NA,stromal cell
fibromyocyte,NA,NA,muscle cell
fibromyocytes,NA,NA,muscle cell
follicular dendritic,follicular dendritic cell,CL:0000442,dendritic cell
follicular dendritic cell,follicular dendritic cell,CL:0000442,dendritic cell
frontal cortex cell,NA,NA,brain cell
fusiform cerebral cell,NA,NA,brain cell
gamma delta(γδ) t cell,gamma-delta T cell,CL:0000798,t/nk cell
gamma islet cell,pancreatic PP cell,CL:0002275,epithelial cell
gamma-delta t,gamma-delta T cell,CL:0000798,t/nk cell
ganglion cell,retinal ganglion cell,CL:0000740,neuron
gastric epithelial cell,epithelial cell of stomach,CL:0002178,epithelial cell
gastric mucous neck cell,mucous neck cell of gastric gland,CL:0002181,epithelial cell
gastric surface mucus cell,surface mucosal cell of stomach,CL:0002182,epithelial cell
gastrointestinal epithelial cell,NA,NA,epithelial cell
germ cell,germ cell,CL:0000586,germ cell
germinal center b,germinal center B cell,CL:0000844,b cell
germinal center b cell,germinal center B cell,CL:0000844,b cell
glandular barrett's esophagus cell,glandular cell of esophagus,CL:0002657,epithelial cell
glandular epithelial cell,glandular epithelial cell,CL:0000150,epithelial cell
glioma stem cell,NA,NA,malignant cell
glomerular cell,glomerular cell,CL:1000746,epithelial cell
gmp,granulocyte monocyte progenitor cell,CL:0000557,progenitor cell
goblet,goblet cell,CL:0000160,epithelial cell
goblet cell (mucus-producing cell in gastrointestinal tract),NA,NA,epithelial cell
goblet cell (respiratory epithelium),respiratory goblet cell,CL:0002370,epithelial cell
granule neurons,granule cell,CL:0000120,neuron
granulocyte,granulocyte,CL:0000094,granulocyte
granulocyte monocyte progenitor,granulocyte monocyte progenitor cell,CL:0000557,progenitor cell
granulocyte-monocyte progenitor cell(gmp),granulocyte monocyte progenitor cell,CL:0000557,progenitor cell
granulocytes (neutrophils),neutrophil,CL:0000775,granulocyte
granulocytopoietic cell,granulocytopoietic cell,CL:0002191,progenitor cell
granulosa cell (ovary),granulosa cell,CL:0000501,epithelial cell
gzmk cd8 cell,NA,NA,t/nk cell
haematopoietic stem cell,hematopoietic stem cell,CL:0000037,stem cell
hair canal cell,NA,NA,neuron
hair follicle cell,hair follicle cell,CL:0002559,hair follicle cell
healing enriched-fibroblast,NA,NA,fibroblast
heart cell,NA,NA,heart cell
heart muscle cell,cardiac muscle cell,CL:0000746,muscle cell
hematopoeitic stem cell,hematopoietic stem cell,CL:0000037,stem cell
hematopoietic cell,hematopoietic cell,CL:0000988,blood cell
hematopoietic progenitor cell,hematopoietic multipotent progenitor cell,CL:0000837,progenitor cell
hematopoietic progenitors,hematopoietic multipotent progenitor cell,CL:0000837,progenitor cell
hematopoietic stem and progenitor cell,hematopoietic stem cell,CL:0000037,stem cell
hematopoietic stem and progenitor cell (hspcs),hematopoietic stem cell,CL:0000037,stem cell
hematopoietic stem cell,hematopoietic stem cell,CL:0000037,stem cell
hematopoietic stem cell (hscs),hematopoietic stem cell,CL:0000037,stem cell
hematopoietic stem/progenitor cell,hematopoietic stem cell,CL:0000037,stem cell
hemoglobin-producing cell,NA,NA,erythroid cell
hepatic cell,NA,NA,liver cell
hepatic stellate cell (hscs),hepatic stellate cell,CL:0000632,fibroblast
hepatobiliary cell,NA,NA,hepatobiliary cell
hepatobiliary epithelial cell (cholangiocytes),cholangiocyte,CL:1000488,epithelial cell
hepatoblasts,hepatoblast,CL:0005026,stem cell
hepatocyte or liver cell,"hepatocyte,NA","CL:0000182,NA","epithelial cell,NA"
hepatocytes or hepatocyte progenitors,"hepatocyte,NA","CL:0000182,NA","epithelial cell,progenitor cell"
hepatocytes or liver-related cell,"hepatocyte,NA","CL:0000182,NA","epithelial cell,NA"
horizontal cell,retina horizontal cell,CL:0000745,neuron
hsc,hematopoietic stem cell,CL:0000037,stem cell
hsc_cd34+,hematopoietic stem cell,CL:0000037,stem cell
hypoblast-like cell,NA,NA,embryonic cell
ilc,innate lymphoid cell,CL:0001065,innate lymphoid cell
immature b cell,immature B cell,CL:0000816,b cell
immature dendritic cell,NA,NA,dendritic cell
immature erythroid cell,NA,NA,erythroid cell
immature neutrophil,immature neutrophil,CL:0000776,granulocyte
immune,NA,NA,immune cell
immune cell (b cells),B cell,CL:0000236,b cell
immune cell (dendritic cells),dendritic cell,CL:0000451,dendritic cell
immune cell (likely t cells or macrophages),"T cell,macrophage","CL:0000084,CL:0000235","t/nk cell,macrophage/monocyte"
immune cell (mast cells),mast cell,CL:0000097,granulocyte
immune cell (monocytes/macrophages),"monocyte,macrophage","CL:0000576,CL:0000235",macrophage/monocyte
immune cell (natural killer cells),natural killer cell,CL:0000623,t/nk cell
immune cell (nk cells),natural killer cell,CL:0000623,t/nk cell
immune cell (t cells),T cell,CL:0000084,t/nk cell
immune oligodendroglial cell(imolg),NA,NA,oligodendrocyte
immuneendothelial cell,NA,NA,endothelial cell
infiltrating immune cell (not specific to kidney),NA,NA,immune cell
inflammatory cancer-associated fibroblast,NA,NA,fibroblast
inflammatory fibroblast,NA,NA,fibroblast
inflammatory macrophage,inflammatory macrophage,CL:0000863,macrophage/monocyte
inhibitory interneurons,inhibitory interneuron,CL:0000498,neuron
inhibitory neurons,NA,NA,neuron
inhibitory neurons (specifically neuropeptide y-positive interneurons),NA,NA,neuron
inhibitory neurons (specifically parvalbumin-positive interneurons),NA,NA,neuron
inhibitory neurons (specifically somatostatin-positive interneurons),NA,NA,neuron
"innate immune cell (e.g., neutrophils, monocytes)",NA,NA,immune cell
innate lymphoid,innate lymphoid cell,CL:0001065,innate lymphoid cell
innate lymphoid cell,innate lymphoid cell,CL:0001065,innate lymphoid cell
innate lymphoid cell (ilc3),group 3 innate lymphoid cell,CL:0001071,innate lymphoid cell
innate lymphoid cell nk,natural killer cell,CL:0000623,t/nk cell
inner phalangeal cell,inner phalangeal cell,CL:0005015,epithelial cell
inner radial glial cell,radial glial cell,CL:0000681,radial glial cell
inter ductal cell,NA,NA,epithelial cell
intercalated,renal intercalated cell,CL:0005010,epithelial cell
intercalated cell (renal collecting duct),kidney collecting duct intercalated cell,CL:1001432,epithelial cell
intermediate b cell,transitional stage B cell,CL:0000818,b cell
intermediate mesoderm cell,intermediate mesodermal cell,CL:0011011,embryonic cell
interneurons,interneuron,CL:0000099,neuron
interstitial cell,interstitial cell,CL:4030031,interstitial cell
