"simuround","noise","gene","manual_annotation","manual_CLname","manual_CLID","manual_broadtype","gpt4aug3_annotation","gpt4aug3_CLname","gpt4aug3_CLID","gpt4aug3_broadtype","gpt4aug3_agreement"
3,0.25,"ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,MMRFCGU,RN7SL261P","Pericyte","pericyte","CL:0000669","pericyte","Pericytes","pericyte","CL:0000669","pericyte",1
3,0.25,"CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,TRT-TGT2-1,TRV-CAC11-1,BRDTP1","Smooth Muscle","smooth muscle cell","CL:0000192","muscle cell","Smooth muscle cells","smooth muscle cell","CL:0000192","muscle cell",1
3,0.25,"CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,OR4K13,CASC3,LOC116268467","T cell","T cell","CL:0000084","t/nk cell","T cells","T cell","CL:0000084","t/nk cell",1
3,0.25,"LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,GNAS-AS1,CTAGE12P,BCDIN3D","Vascular Endothelial","endothelial cell of vascular tree","CL:0002139","endothelial cell","Endothelial cells","endothelial cell","CL:0000115","endothelial cell",0.5
3,0.5,"EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,LOC124433244,CCL15-CCL14,HNRNPMP2,STAT1,ACAP3","Adipocyte","fat cell","CL:0000136","fat cell","Adipocytes","fat cell","CL:0000136","fat cell",1
3,0.5,"CR2,CD24,FAS,CXCR3,CD1c,RPS11P2,HINT3","B cell_memory","memory B cell","CL:0000787","b cell","B cells","B cell","CL:0000236","b cell",0.5
3,0.5,"FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,TRA-AGC11-1,AMPD3,GMFG,LY6L,MIR4290HG,RNU1-33P,LOC107984442,LOC107985927,LOC105371813,NPEPPS,LINC02799,B4GALT1,EEF1E1,STK33","Fibroblast","fibroblast","CL:0000057","fibroblast","Fibroblasts","fibroblast","CL:0000057","fibroblast",1
3,0.5,"HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,SERTM1,KYAT1,bA255A11.4,KRT18P45,LOC121587571,LOC107985157,LOC121331324,LINC02646","Luminal Epithelial",NA,NA,"epithelial cell","Luminal epithelial cells",NA,NA,"epithelial cell",0.5
3,0.5,"LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,LOC110120815,RNA5SP281,LOC120807610","Lymphatic Endothelial","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell","Lymphatic endothelial cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1
3,0.5,"MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,NIFKP4,HMGN2P48,MTTP,MSL3,TRN-GTT2-3,CCNA2,CYP4F11,RN7SKP111,MTMR11","Macrophage","macrophage","CL:0000235","macrophage/monocyte","Macrophages","macrophage","CL:0000235","macrophage/monocyte",1
3,0.5,"TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,LOC109461484,RNU6-777P,LOC105374211","Mast Cell","mast cell","CL:0000097","granulocyte","Mast cells","mast cell","CL:0000097","granulocyte",1
3,0.5,"ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,NLRP8,LOC123956267,LOC116276467,EIF4ENIF1","Myoepithelial (Basal)","myoepithelial cell","CL:0000185","epithelial cell","Myoepithelial cells","myoepithelial cell","CL:0000185","epithelial cell",1
3,0.5,"ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,LOC105371419,LOC116276510,FOXC2,LOC110120731","Pericyte","pericyte","CL:0000669","pericyte","Pericytes","pericyte","CL:0000669","pericyte",1
3,0.5,"CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,ENPP7P1,RNU6-623P,LOC400940,MICE,PIGZ,KCND1,ANXA2P2","Smooth Muscle","smooth muscle cell","CL:0000192","muscle cell","Smooth muscle cells","smooth muscle cell","CL:0000192","muscle cell",1
3,0.5,"CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,PRDX3P1,PIP4K2A,IGBP1-AS1,LOC105374220,CFAP20DC,GTF2IP10","T cell","T cell","CL:0000084","t/nk cell","T cells","T cell","CL:0000084","t/nk cell",1
3,0.5,"LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,LOC121815954,GNA14,ERCC2,FOXF2-DT,KLHL10,LOC101927469,CFAP97D1","Vascular Endothelial","endothelial cell of vascular tree","CL:0002139","endothelial cell","Endothelial cells","endothelial cell","CL:0000115","endothelial cell",0.5
3,0.75,"EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,RPL21P125,PHF3,LOC122756681,NCKAP1L,FRA11H,RN7SL762P,USH2A-AS2","Adipocyte","fat cell","CL:0000136","fat cell","Adipocytes","fat cell","CL:0000136","fat cell",1
3,0.75,"CR2,CD24,FAS,CXCR3,CD1c,LINC02898,MIR6770-2,PRPS2","B cell_memory","memory B cell","CL:0000787","b cell","B cells","B cell","CL:0000236","b cell",0.5
3,0.75,"FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,DRAP1,RPL17P44,GOT2,PGLS-DT,RAP1AP,LOC105371311,FAM131A,LOC105371460,LOC121725064,ERVK9-7,MIR6126,NEFMP1,LOC120893141,LOC102723539,SLC7A11,CD300E,FRA11H,LOC123493297,LOC121627929,LOC105376934,CERS1","Fibroblast","fibroblast","CL:0000057","fibroblast","Fibroblasts","fibroblast","CL:0000057","fibroblast",1
3,0.75,"HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,LOC100418712,SCLL,LOC116286194,LINC01868,LINC02578,LOC112543428,RNA5SP132,LOC107986112,MTND5P8,RNU6-1000P,MIR4263,RNU7-186P","Luminal Epithelial",NA,NA,"epithelial cell","Epithelial cells","epithelial cell","CL:0000066","epithelial cell",0.5
3,0.75,"LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,RNU7-52P,LOC105378844,ANKRD40CL,TMEM150A,RNU6-1237P","Lymphatic Endothelial","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell","Lymphatic endothelial cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1
3,0.75,"MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,DUXAP6,LOC123881325,LOC105377095,LOC112268245,LOC105375889,LOC107986032,ACOX2,RNU6-127P,MBOAT7,RNU6-381P,LOC107986830,RNA5-8S2,VDAC1,ANKRD36","Macrophage","macrophage","CL:0000235","macrophage/monocyte","Macrophages","macrophage","CL:0000235","macrophage/monocyte",1
3,0.75,"TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,PAICSP5,ELAVL4,LRRC52,LOC105372034","Mast Cell","mast cell","CL:0000097","granulocyte","Mast cells","mast cell","CL:0000097","granulocyte",1
3,0.75,"ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,IGHG1,IGHV7-4-1,LOC110120725,CFHR4,RPEL1,RARRES2","Myoepithelial (Basal)","myoepithelial cell","CL:0000185","epithelial cell","Epithelial cells","epithelial cell","CL:0000066","epithelial cell",0.5
3,0.75,"ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,IGHV4-55,LOC110120782,LOC123575623,RCC2P1,NFE2L1-DT,AK4P4","Pericyte","pericyte","CL:0000669","pericyte","Myofibroblasts","myofibroblast cell","CL:0000186","myofibroblast cell",0
3,0.75,"CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,VSX1,FEB10,LOC107986876,MARCHF8,LOC107985380,GARIN2,CER1,HK3,LOC122847317,GBP6,MVK","Smooth Muscle","smooth muscle cell","CL:0000192","muscle cell","Smooth muscle cells","smooth muscle cell","CL:0000192","muscle cell",1
3,0.75,"CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,LOC115945149,RN7SL536P,PNPLA5,LOC100505782,OR10AB1P,LOC107984642,LOC110120864,SIVA1,LOC108281168","T cell","T cell","CL:0000084","t/nk cell","T cells","T cell","CL:0000084","t/nk cell",1
3,0.75,"LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,MIR6128,B3GNT7,CCDC14,NXT1,RPLP2P5,RN7SL500P,LOC105379356,LOC113175005,OPN3,BMND5","Vascular Endothelial","endothelial cell of vascular tree","CL:0002139","endothelial cell","Endothelial cells","endothelial cell","CL:0000115","endothelial cell",0.5
4,0.25,"EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,MRPS35P3,LOC107984293","Adipocyte","fat cell","CL:0000136","fat cell","Adipocytes","fat cell","CL:0000136","fat cell",1
4,0.25,"CR2,CD24,FAS,CXCR3,CD1c,RBMS3-AS3","B cell_memory","memory B cell","CL:0000787","b cell","B cells","B cell","CL:0000236","b cell",0.5
4,0.25,"FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,FADS2B,C11orf16,OR5L1,RN7SKP167,TRIM8,LOC121838568,RPS26P19","Fibroblast","fibroblast","CL:0000057","fibroblast","Fibroblasts","fibroblast","CL:0000057","fibroblast",1
4,0.25,"HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,FGFR4,MKI67P1,USP21P1,SLC30A9","Luminal Epithelial",NA,NA,"epithelial cell","Mammary Epithelial Cells","mammary gland epithelial cell","CL:0002327","epithelial cell",0.5
4,0.25,"LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,LOC105379250","Lymphatic Endothelial","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell","Lymphatic Endothelial Cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1
4,0.25,"MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,LOC105369302,RACGAP1,RPL29P6,LINC01726","Macrophage","macrophage","CL:0000235","macrophage/monocyte","Macrophages","macrophage","CL:0000235","macrophage/monocyte",1
4,0.25,"TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,MARVELD1","Mast Cell","mast cell","CL:0000097","granulocyte","Mast cells","mast cell","CL:0000097","granulocyte",1
4,0.25,"ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,CTRCT25,SLC25A16","Myoepithelial (Basal)","myoepithelial cell","CL:0000185","epithelial cell","Myoepithelial Cells","myoepithelial cell","CL:0000185","epithelial cell",1
4,0.25,"ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,LOC105376634,LOC107987416","Pericyte","pericyte","CL:0000669","pericyte","Pericytes","pericyte","CL:0000669","pericyte",1
4,0.25,"CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,LOC646853,C1QC,LOC121530590","Smooth Muscle","smooth muscle cell","CL:0000192","muscle cell","Smooth Muscle Cells","smooth muscle cell","CL:0000192","muscle cell",1
4,0.25,"CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,LOC122056881,CDKN2C,TRP-TGG3-1","T cell","T cell","CL:0000084","t/nk cell","T cells","T cell","CL:0000084","t/nk cell",1
4,0.25,"LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,ZNF607,LOC105376332,CTAGE16P","Vascular Endothelial","endothelial cell of vascular tree","CL:0002139","endothelial cell","Endothelial Cells","endothelial cell","CL:0000115","endothelial cell",0.5
4,0.5,"EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,MIR5705,MIR8064,NYS5,IGHVIII-16-1,ZBTB2","Adipocyte","fat cell","CL:0000136","fat cell","Adipocytes","fat cell","CL:0000136","fat cell",1
4,0.5,"CR2,CD24,FAS,CXCR3,CD1c,LOC123924917,LOC105378193","B cell_memory","memory B cell","CL:0000787","b cell","B cells","B cell","CL:0000236","b cell",0.5
4,0.5,"FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,LOC123477708,LOC107986939,USP2-AS1,LOC110120683,RPL26P37,NCKAP5-IT1,FEZF2,RIMS4,SMURF2P1,LOC105369718,MIR4481,SEZ6L2,LOC111828512,RNU6-1205P","Fibroblast","fibroblast","CL:0000057","fibroblast","Fibroblasts","fibroblast","CL:0000057","fibroblast",1
4,0.5,"HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,GOLGA8N,RPL19P15,LOC121056742,LOC105369881,RPL7P22,LOC390600,ZNF343,PRKX-AS1","Luminal Epithelial",NA,NA,"epithelial cell","Breast Cells",NA,NA,"breast cell",0
4,0.5,"LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,OR4F5,LINC02772,RPL7P14","Lymphatic Endothelial","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell","Lymphatic Endothelial Cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1
4,0.5,"MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,SORCS3,SCNN1D,KATNAL1,SULT1A4,RASGEF1C,TPT1P15,LOC123038184,RN7SL607P,DZIP1L","Macrophage","macrophage","CL:0000235","macrophage/monocyte","Macrophages","macrophage","CL:0000235","macrophage/monocyte",1
4,0.5,"TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,LOC116186912,LOC105379409,LOC105376839","Mast Cell","mast cell","CL:0000097","granulocyte","Mast Cells","mast cell","CL:0000097","granulocyte",1
4,0.5,"ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,RAB3B,AFF4,MIR4428,NBPF18P","Myoepithelial (Basal)","myoepithelial cell","CL:0000185","epithelial cell","Basal Cells","basal cell","CL:0000646","stem cell",0
4,0.5,"ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,VPS26AP1,RPS29P6,RN7SKP72,TPT1P12","Pericyte","pericyte","CL:0000669","pericyte","Smooth Muscle Cells","smooth muscle cell","CL:0000192","muscle cell",0
4,0.5,"CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,USP9YP18,LOC107984437,LURAP1L,LOC112935932,MIR30D,PKP3,LOC110120764","Smooth Muscle","smooth muscle cell","CL:0000192","muscle cell","Smooth Muscle Cells","smooth muscle cell","CL:0000192","muscle cell",1
4,0.5,"CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,ZNF570,LOC107984567,LOC101928331,VENTXP7,SMURF1,PLCH1-AS1","T cell","T cell","CL:0000084","t/nk cell","T cells","T cell","CL:0000084","t/nk cell",1
4,0.5,"LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,LOC105373194,LOC105374304,VAPA,ACOT12,NACC1,OR13K1P,CCL15-CCL14","Vascular Endothelial","endothelial cell of vascular tree","CL:0002139","endothelial cell","Endothelial Cells","endothelial cell","CL:0000115","endothelial cell",0.5
4,0.75,"EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,TNFSF14,EEF1A1P3,ACVRL1,LOC121392956,RNU4-76P,S100A11P10,E2F3P2","Adipocyte","fat cell","CL:0000136","fat cell","Adipocytes","fat cell","CL:0000136","fat cell",1
4,0.75,"CR2,CD24,FAS,CXCR3,CD1c,LOC124310585,RPS3AP16,LOC105378088","B cell_memory","memory B cell","CL:0000787","b cell","B cells","B cell","CL:0000236","b cell",0.5
4,0.75,"FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,LOC102724672,RNA18S1,MIR3142,ERVW-8,LOC111365206,CYP1A2,IFNG,TRT-AGT3-1,PIERCE2,LOC116268471,RIOK3,PSPC1,ALG1L9P,LOC110121063,LOC112268419,GRIFIN,BBIP1,LINC01661,CTSS,LOC100130618,RBBP4P4","Fibroblast","fibroblast","CL:0000057","fibroblast","Fibroblasts","fibroblast","CL:0000057","fibroblast",1
4,0.75,"HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,DNAJB1P1,OR4F13P,LOC110673971,LOC113687201,CFAP44,RPS27P16,MIR4506,LOC113875031,GNGT2,PGAM1P8,RPL23AP95,PELI2","Luminal Epithelial",NA,NA,"epithelial cell","Luminal Epithelial Cells",NA,NA,"epithelial cell",0.5
4,0.75,"LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,LOC121832836,LOC102723630,LOC105370821,OR2H2,LINC01502","Lymphatic Endothelial","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell","Lymphatic Endothelial Cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1
4,0.75,"MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,LOC112268011,LOC105376410,MORF4L1P2,CSGALNACT2P1,SNORD150,LOC123956208,H4C13,MTATP8P1,LOC105377473,EFCAB14-AS1,POROK5,ELOBP3,LOC107984872,LOC101929552","Macrophage","macrophage","CL:0000235","macrophage/monocyte","Macrophages","macrophage","CL:0000235","macrophage/monocyte",1
4,0.75,"TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,LOC105370094,C20orf96,MIR6130,LOC105373151","Mast Cell","mast cell","CL:0000097","granulocyte","Mast Cells","mast cell","CL:0000097","granulocyte",1
4,0.75,"ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,KRT8P29,NUDT15P2,MARK2,LINC01067,RN7SL446P,EIF4BP7","Myoepithelial (Basal)","myoepithelial cell","CL:0000185","epithelial cell","Basal Epithelial Cells","basal cell","CL:0000646","stem cell",0
4,0.75,"ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,LOC121853001,SMSP1,LINC01674,ZBED9-AS1,LOC112806054,LOC100129942","Pericyte","pericyte","CL:0000669","pericyte","Pericytes","pericyte","CL:0000669","pericyte",1
4,0.75,"CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,RFX3-DT,LOC110121105,RNASE2CP,PPP2CB,LOC107984823,LOC123522806,LRRC59,LOC100420779,LOC108228207,MIR138-2,LOC107986182","Smooth Muscle","smooth muscle cell","CL:0000192","muscle cell","Smooth Muscle Cells","smooth muscle cell","CL:0000192","muscle cell",1
4,0.75,"CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,LOC105370910,LOC110120859,CYP3A4,NMT1,NASPP1,CDKN2D,RBM19,CUPIN1P,LOC121466710","T cell","T cell","CL:0000084","t/nk cell","T cells","T cell","CL:0000084","t/nk cell",1
4,0.75,"LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,LOC100422368,RNU6-260P,RNU6-1230P,SNORA95,MANEALP1,TRAPPC1,SNORD116-12,LOC121838559,TMPRSS11D,KRTAP4-5","Vascular Endothelial","endothelial cell of vascular tree","CL:0002139","endothelial cell","Endothelial Cells","endothelial cell","CL:0000115","endothelial cell",0.5
5,0.25,"EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,EFHD2,KCNH7","Adipocyte","fat cell","CL:0000136","fat cell","Adipocytes","fat cell","CL:0000136","fat cell",1
5,0.25,"CR2,CD24,FAS,CXCR3,CD1c,LOC100288208","B cell_memory","memory B cell","CL:0000787","b cell","B cells","B cell","CL:0000236","b cell",0.5
5,0.25,"FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,LOC101928961,CD59,ZNF597,LOC105377104,SGSH,LOC100289561,COX7B","Fibroblast","fibroblast","CL:0000057","fibroblast","Fibroblasts","fibroblast","CL:0000057","fibroblast",1
5,0.25,"HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,SCAND2P,LOC105376204,MIR145,OPRK1","Luminal Epithelial",NA,NA,"epithelial cell","Mammary epithelial cells","mammary gland epithelial cell","CL:0002327","epithelial cell",0.5
5,0.25,"LYVE1,MMRN1,FLT4,RELN,CCL21,PROX1,LYVE1,SAGE3P","Lymphatic Endothelial","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell","Lymphatic endothelial cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1
5,0.25,"MS4A4A,RBPJ,MS4A6A,MRC1,C1QA,MR1,LYVE1,CSF1R,PTPRC,SLC11A1,LYZ,CD74,CD36,MERTK,MSR1,CPM,MS4A6A,CD163,CD68,LOC107985853,CXXC1P1,MYG1,FBXW7","Macrophage","macrophage","CL:0000235","macrophage/monocyte","Macrophages","macrophage","CL:0000235","macrophage/monocyte",1
5,0.25,"TPSAB1,FCER1A,TPSB2,KIT,CD69,HDC,LOC107985876","Mast Cell","mast cell","CL:0000097","granulocyte","Mast cells","mast cell","CL:0000097","granulocyte",1
5,0.25,"ACTA2,KRT14,KRT17,KRT5,MME,TP63,CALD1,MYH11,CYP4F45P,LINC02802","Myoepithelial (Basal)","myoepithelial cell","CL:0000185","epithelial cell","Myoepithelial cells","myoepithelial cell","CL:0000185","epithelial cell",1
5,0.25,"ACTA2,MYO1B,ACTA2,ANPEP,DES,MCAM,PDGFRB,CSPG4,SPINT2,LOC105369329","Pericyte","pericyte","CL:0000669","pericyte","Pericytes","pericyte","CL:0000669","pericyte",1
5,0.25,"CALD1,ACTA2,TAGLN,MYH11,MYOCD,SMTN,VCL,CNN1,ACTG2,MYL9,PALLD,GUCY1A3,GUCY1B3,ACTN1,DES,RN7SL357P,GAPDHP73,LOC100419639","Smooth Muscle","smooth muscle cell","CL:0000192","muscle cell","Smooth muscle cells","smooth muscle cell","CL:0000192","muscle cell",1
5,0.25,"CD96,PTPRC,CD247,SKAP1,THEMIS,CD69,IL7R,NKG7,TRAC,CD3D,CD3E,CD3G,TRBC1,URAHP,FAM227A,TRIM49C","T cell","T cell","CL:0000084","t/nk cell","T cells","T cell","CL:0000084","t/nk cell",1
5,0.25,"LDB2,EGFL7,PECAM1,CDH5,VWF,PECAM1,RAMP3,CD300LG,BACE2,EPHB4,NOSTRIN,LDB2,PTPRB,CLDN5,LOC107984380,LOC123497926,LINC02605","Vascular Endothelial","endothelial cell of vascular tree","CL:0002139","endothelial cell","Endothelial cells","endothelial cell","CL:0000115","endothelial cell",0.5
5,0.5,"EBF1,G0S2,PLIN1,PLIN2,LPIN1,FOXO1,PPARG,ACSL1,ADIPOQ,GHR,KMT5AP2,MIR4497,LYPLAL1-AS1,LOC284379,BORCS8","Adipocyte","fat cell","CL:0000136","fat cell","Adipocytes","fat cell","CL:0000136","fat cell",1
5,0.5,"CR2,CD24,FAS,CXCR3,CD1c,RPL31P55,MYO9B","B cell_memory","memory B cell","CL:0000787","b cell","B cells","B cell","CL:0000236","b cell",0.5
5,0.5,"FN1,S100A4,FGF7,COL6A1,COL1A1,COL3A1,COL5A1,NEGR1,CCN2,FN1,DCN,SLIT2,COL6A6,HGF,COL18A1,IL6,IL33,IGFBP3,IGFBP5,COL1A2,DDR2,COL5A2,COL6A2,COL6A3,FBLN1,COL4A1,FBN1,VIM,ZNF395,AGPAT5,OLIG3,LOC105373430,SNORA67,LOC105375815,SNORA13,FLJ40288,LOC112935949,LINC01975,FGF16,BMPR2,LOC112939933,GOLGA2P9","Fibroblast","fibroblast","CL:0000057","fibroblast","Fibroblasts","fibroblast","CL:0000057","fibroblast",1
5,0.5,"HES2,TFCP2L1,KLF5,SOX10,ELF5,SOX9,AFF3,KRT8,EPCAM,KIT,KRT18,ESR1,PGR,KRT7,PRLR,KRT19,MUC1,LOC285804,MIR421,SLC10A5P1,LOC105375414,LOC105369781,ZNF470,GPC1-AS1,MIR4679-2","Luminal Epithelial",NA,NA,"epithelial cell","Luminal breast epithelial cells","luminal epithelial cell of mammary gland","CL:0002326","epithelial cell",0.5
