"simuround","subset","gene","manual_annotation","manual_CLname","manual_CLID","manual_broadtype","gpt4aug3_annotation","gpt4aug3_CLname","gpt4aug3_CLID","gpt4aug3_broadtype","gpt4aug3_agreement"
4,0.75,"TPSB2,FCER1A,TPSAB1,CD69","Mast Cell","mast cell","CL:0000097","granulocyte","Mast Cells","mast cell","CL:0000097","granulocyte",1
4,0.75,"MME,MYH11,KRT5,KRT17,ACTA2,KRT14","Myoepithelial (Basal)","myoepithelial cell","CL:0000185","epithelial cell","Myoepithelial Cells","myoepithelial cell","CL:0000185","epithelial cell",1
4,0.75,"ANPEP,MYO1B,PDGFRB,MCAM,CSPG4,DES","Pericyte","pericyte","CL:0000669","pericyte","Pericytes","pericyte","CL:0000669","pericyte",1
4,0.75,"ACTN1,MYL9,ACTG2,VCL,TAGLN,MYOCD,CALD1,GUCY1B3,SMTN,MYH11,CNN1","Smooth Muscle","smooth muscle cell","CL:0000192","muscle cell","Smooth Muscle Cells","smooth muscle cell","CL:0000192","muscle cell",1
4,0.75,"TRBC1,CD3G,CD247,NKG7,PTPRC,CD69,IL7R,TRAC,CD96","T cell","T cell","CL:0000084","t/nk cell","T Cells","T cell","CL:0000084","t/nk cell",1
4,0.75,"EPHB4,RAMP3,VWF,PTPRB,NOSTRIN,CLDN5,CDH5,CD300LG,EGFL7,PECAM1","Vascular Endothelial","endothelial cell of vascular tree","CL:0002139","endothelial cell","Endothelial Cells","endothelial cell","CL:0000115","endothelial cell",0.5
5,0.25,"PLIN2,GHR","Adipocyte","fat cell","CL:0000136","fat cell","Adipocytes, Hepatocytes","fat cell,hepatocyte","CL:0009099,CL:0000182","fat cell,epithelial",0.5
5,0.25,"CR2","B cell_memory","memory B cell","CL:0000787","b cell","B cells","B cell","CL:0000236","b cell",0.5
5,0.25,"IGFBP5,FBN1,CCN2,COL1A2,NEGR1,FGF7,COL5A2","Fibroblast","fibroblast","CL:0000057","fibroblast","Fibroblasts","fibroblast","CL:0000057","fibroblast",1
5,0.25,"KRT19,AFF3,EPCAM,KIT","Luminal Epithelial",NA,NA,"epithelial cell","Epithelial cells, Basal Cells","epithelial cell,basal cells","CL:0000066,CL:0000646","epithelial cell,stem cell",0.5
5,0.25,"FLT4","Lymphatic Endothelial","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell","Endothelial cells","endothelial cell","CL:0000115","endothelial cell",0.5
5,0.25,"MS4A6A,CD36,CPM,CD68","Macrophage","macrophage","CL:0000235","macrophage/monocyte","Monocytes, Macrophages","monocyte,macrophage","CL:0000576,CL:0000235","macrophage/monocyte",0.5
5,0.25,"HDC","Mast Cell","mast cell","CL:0000097","granulocyte","Mast cells","mast cell","CL:0000097","granulocyte",1
5,0.25,"KRT17,KRT14","Myoepithelial (Basal)","myoepithelial cell","CL:0000185","epithelial cell","Stratified epithelial cells","stratified epithelial cell","CL:0000079","epithelial cell",0.5
5,0.25,"MYO1B,ACTA2","Pericyte","pericyte","CL:0000669","pericyte","Myocytes, Smooth muscle cells","muscle cell,smooth muscle cell","CL:0000187,CL:0000192","muscle cell",0
5,0.25,"TAGLN,CNN1,DES","Smooth Muscle","smooth muscle cell","CL:0000192","muscle cell","Smooth muscle cells","smooth muscle cell","CL:0000192","muscle cell",1
5,0.25,"IL7R,CD69,TRBC1","T cell","T cell","CL:0000084","t/nk cell","T cells","T cell","CL:0000084","t/nk cell",1
5,0.25,"CD300LG,LDB2,PTPRB","Vascular Endothelial","endothelial cell of vascular tree","CL:0002139","endothelial cell","Endothelial cells","endothelial cell","CL:0000115","endothelial cell",0.5
5,0.5,"ACSL1,PPARG,LPIN1,PLIN2,GHR","Adipocyte","fat cell","CL:0000136","fat cell","Adipocytes","fat cell","CL:0000136","fat cell",1
5,0.5,"CD24,CD1c","B cell_memory","memory B cell","CL:0000787","b cell","Dendritic Cells","dendritic cell","CL:0000451","dendritic cell",0.5
5,0.5,"FBN1,S100A4,CCN2,IGFBP5,SLIT2,FN1,COL6A3,COL3A1,NEGR1,COL6A6,DCN,FBLN1,VIM,COL1A2","Fibroblast","fibroblast","CL:0000057","fibroblast","Fibroblasts","fibroblast","CL:0000057","fibroblast",1
5,0.5,"ESR1,KLF5,SOX9,AFF3,SOX10,KRT19,PGR,ELF5","Luminal Epithelial",NA,NA,"epithelial cell","Luminal Breast Cancer Cells",NA,NA,"malignant cell",0
5,0.5,"CCL21,RELN,FLT4","Lymphatic Endothelial","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell","Lymphatic Endothelial Cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1
5,0.5,"CD36,LYVE1,MS4A6A,CPM,C1QA,MRC1,MERTK,MR1,CD163","Macrophage","macrophage","CL:0000235","macrophage/monocyte","Macrophages","macrophage","CL:0000235","macrophage/monocyte",1
5,0.5,"HDC,TPSB2,FCER1A","Mast Cell","mast cell","CL:0000097","granulocyte","Mast Cells","mast cell","CL:0000097","granulocyte",1
5,0.5,"MME,MYH11,ACTA2,KRT5","Myoepithelial (Basal)","myoepithelial cell","CL:0000185","epithelial cell","Myoepithelial Cells","myoepithelial cell","CL:0000185","epithelial cell",1
5,0.5,"ACTA2,MCAM,MYO1B,ANPEP","Pericyte","pericyte","CL:0000669","pericyte","Pericytes","pericyte","CL:0000669","pericyte",1
5,0.5,"PALLD,VCL,MYL9,CALD1,CNN1,ACTG2,TAGLN","Smooth Muscle","smooth muscle cell","CL:0000192","muscle cell","Smooth Muscle Cells","smooth muscle cell","CL:0000192","muscle cell",1
5,0.5,"CD3E,NKG7,CD3D,SKAP1,CD96,THEMIS","T cell","T cell","CL:0000084","t/nk cell","T Cells","T cell","CL:0000084","t/nk cell",1
5,0.5,"RAMP3,EPHB4,VWF,CDH5,CLDN5,BACE2,CD300LG","Vascular Endothelial","endothelial cell of vascular tree","CL:0002139","endothelial cell","Blood Vascular Endothelial Cells","blood vessel endothelial cell","CL:0000071","endothelial cell",0.5
5,0.75,"GHR,LPIN1,PPARG,EBF1,FOXO1,ADIPOQ,PLIN1","Adipocyte","fat cell","CL:0000136","fat cell","Adipocytes","fat cell","CL:0000136","fat cell",1
5,0.75,"CD24,FAS,CR2","B cell_memory","memory B cell","CL:0000787","b cell","B Cells","B cell","CL:0000236","b cell",0.5
5,0.75,"FN1,CCN2,COL3A1,SLIT2,FN1,COL6A1,IGFBP3,COL6A2,FBN1,COL1A2,DCN,COL5A1,HGF,DDR2,COL6A3,FGF7,COL18A1,COL6A6,IL33,NEGR1,IGFBP5","Fibroblast","fibroblast","CL:0000057","fibroblast","Fibroblasts","fibroblast","CL:0000057","fibroblast",1
5,0.75,"KLF5,EPCAM,SOX10,PRLR,HES2,ESR1,PGR,MUC1,KIT,KRT8,KRT19,TFCP2L1","Luminal Epithelial",NA,NA,"epithelial cell","Breast Epithelial cells","mammary gland epithelial cell","CL:0002327","epithelial cell",0.5
5,0.75,"LYVE1,MMRN1,PROX1,FLT4,CCL21","Lymphatic Endothelial","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell","Lymphatic Endothelial Cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1
5,0.75,"MERTK,CPM,SLC11A1,C1QA,MS4A4A,LYVE1,MRC1,CD74,CD68,CD36,PTPRC,MR1,CSF1R,CD163","Macrophage","macrophage","CL:0000235","macrophage/monocyte","Macrophages","macrophage","CL:0000235","macrophage/monocyte",1
5,0.75,"FCER1A,CD69,TPSB2,TPSAB1","Mast Cell","mast cell","CL:0000097","granulocyte","Mast Cells","mast cell","CL:0000097","granulocyte",1
5,0.75,"MYH11,ACTA2,MME,KRT17,KRT5,TP63","Myoepithelial (Basal)","myoepithelial cell","CL:0000185","epithelial cell","Epithelial Cells","epithelial cell","CL:0000066","epithelial cell",0.5
5,0.75,"MYO1B,ACTA2,DES,MCAM,ACTA2,ANPEP","Pericyte","pericyte","CL:0000669","pericyte","Smooth Muscle Cells","smooth muscle cell","CL:0000192","muscle cell",0
5,0.75,"MYL9,MYH11,CALD1,GUCY1B3,CNN1,TAGLN,PALLD,ACTA2,ACTG2,SMTN,ACTN1","Smooth Muscle","smooth muscle cell","CL:0000192","muscle cell","Smooth Muscle Cells","smooth muscle cell","CL:0000192","muscle cell",1
5,0.75,"IL7R,SKAP1,CD3E,TRAC,CD3G,THEMIS,CD247,CD3D,TRBC1","T cell","T cell","CL:0000084","t/nk cell","T Cells","T cell","CL:0000084","t/nk cell",1
5,0.75,"EGFL7,BACE2,EPHB4,RAMP3,CDH5,PECAM1,VWF,PECAM1,NOSTRIN,CLDN5","Vascular Endothelial","endothelial cell of vascular tree","CL:0002139","endothelial cell","Endothelial Cells","endothelial cell","CL:0000115","endothelial cell",0.5
